ElapsedTime,Epoch,BestDNA,RewardOfBestDNA,AvgRewardCurEpoch
0.02,1,,-1,-363.0872
0.04,2,664265504120076666271065562105332153207207575310525021231767231746051350141104230063102053146507047205360345235325154502745601777301226271041623465542774125741021141375565444234561521166741363373612006474527547606676163063352275576412506437417,-17.49,-257.9357
0.14,3,232343026762737574213656564312360263370764213235071236460364067431075526560617233221571707270630045430704240632740073603505601777301226271041623465542774125741021141375565444234561521166741363373612006474527547606676163063352275576412506437417,-11.1,-206.032
0.24,4,460700767104320243053545504712215620653641102114327350046615324410121310113150763620334747557323023057271225104462403407564205533672664436255354522525425422170747532651251242454270615542226373270174141373154046503511135336766402161733200166041,-3.66,-156.7305
0.34,5,460700767104320243053545504712215620653641102114327350046615324410121310113150763620334747557323023057271225104462403407564205533672664436255354522525425422170747532651251242454270615542226373270174141373154046503511135336766402161733200166041,-1.51,-126.5468
0.44,6,620076551056724704733021551120200320071361105323756300122047234130406211666135621560635573126240725727654555414177047013604205533672664436255354522525425422170747532651251242454270615542226373270174141373154046503511135336766402161733200166041,-2.02,-91.55953
0.54,7,120050763756141417637313656231117773244774551323320410715750220536663246510527442324323467430301702341100540553313156732464205533672664436255354522525425422170747532651251242454270615542226373270174141373154046503511135336766402161733200166041,0.4,-72.01462
0.64,8,120050763756141417637313656231117773244774551323320410715750220536663246510527442324323467430301702341100540553313156732464205533672664436255354522525425422170747532651251242454270615542226373270174141373154046503511135336766402161733200166041,0.4,-50.5358
0.7400001,9,120050763756141417637313656231117773244774551323320410715750220536663246510527442324323467430301702341100540553313156732464205533672664436255354522525425422170747532651251242454270615542226373270174141373154046503511135336766402161733200166041,1.3,-56.5211
0.8400001,10,120050763756141417637313656231117773244774551323320410715750220536663246510527442324323467430301702341100540553313156732464205533672664436255354522525425422170747532651251242454270615542226373270174141373154046503511135336766402161733200166041,1.15,-48.48445
0.9400001,11,120050763756141417637313656231117773244774551323320410715750220536663246510527442324323467430301702341100540553313156732464205533672664436255354522525425422170747532651251242454270615542226373270174141373154046503511135336766402161733200166041,1.2,-35.52531
1.04,12,120050763756141417637313656231117773244774551323320410715750220536663246510527442324323467430301702341100540553313156732464205533672664436255354522525425422170747532651251242454270615542226373270174141373154046503511135336766402161733200166041,0.95,-42.78331
1.14,13,120050763756141417637313656231117773244774551323320410715750220536663246510527442324323467430301702341100540553313156732464205533672664436255354522525425422170747532651251242454270615542226373270174141373154046503511135336766402161733200166041,1.25,-37.31695
1.24,14,120050763756141417637313656231117773244774551323320410715750220536663246510527442324323467430301702341100540553313156732464205533672664436255354522525425422170747532651251242454270615542226373270174141373154046503511135336766402161733200166041,1.25,-38.08551
1.34,15,120050763756141417637313656231117773244774551323320410715750220536663246510527442324323467430301702341100540553313156732464205533672664436255354522525425422170747532651251242454270615542226373270174141373154046503511135336766402161733200166041,1.3,-34.4556
1.44,16,120050763756141417637313656231117773244774551323320410715750220536663246510527442324323467430301702341100540553313156732464205533672664436255354522525425422170747532651251242454270615542226373270174141373154046503511135336766402161733200166041,1.25,-43.92005
1.54,17,120050763756141417637313656231117773244774551323320410715750220536663246510527442324323467430301702341100540553313156732464205533672664436255354522525425422170747532651251242454270615542226373270174141373154046503511135336766402161733200166041,1.15,-47.8012
1.64,18,120050763756141417637313656231117773244774551323320410715750220536663246510527442324323467430301702341100540553313156732464205533672664436255354522525425422170747532651251242454270615542226373270174141373154046503511135336766402161733200166041,1.6,-36.9213
1.74,19,120050763756141417637313656231117773244774551323320410715750220536663246510527442324323467430301702341100540553313156732464205533672664436255354522525425422170747532651251242454270615542226373270174141373154046503511135336766402161733200166041,1.25,-41.81196
1.84,20,120050763756141417637313656231117773244774551323320410715750220536663246510527442324323467430301702341100540553313156732464205533672664436255354522525425422170747532651251242454270615542226373270174141373154046503511135336766402161733200166041,1.3,-38.85239
1.94,21,120050763756141417637313656231117773244774551323320410715750220536663246510527442324323467430301702341100540553313156732464205533672664436255354522525425422170747532651251242454270615542226373270174141373154046503511135336766402161733200166041,1.1,-48.42412
2.04,22,120050763756141417637313656231117773244774551323320410715750220536663246510527442324323467430301702341100540553313156732464205533672664436255354522525425422170747532651251242454270615542226373270174141373154046503511135336766402161733200166041,1.3,-25.96165
2.14,23,120050763756141417637313656231117773244774551323320410715750220536663246510527442324323467430301702341100540553313156732464205533672664436255354522525425422170747532651251242454270615542226373270174141373154046503511135336766402161733200166041,1.4,-40.53821
2.24,24,120050763756141417637313656231117773244774551323320410715750220536663246510527442324323467430301702341100540553313156732464205533672664436255354522525425422170747532651251242454270615542226373270174141373154046503511135336766402161733200166041,1.35,-46.42786
2.34,25,120050763756141417637313656231117773244774551323320410715750220536663246510527442324323467430301702341100540553313156732464205533672664436255354522525425422170747532651251242454270615542226373270174141373154046503511135336766402161733200166041,1.25,-38.94255
2.44,26,120050763756141417637313656231117773244774551323320410715750220536663246510527442324323467430301702341100540553313156732464205533672664436255354522525425422170747532651251242454270615542226373270174141373154046503511135336766402161733200166041,1.15,-29.16985
2.54,27,120050763756141417637313656231117773244774551323320410715750220536663246510527442324323467430301702341100540553313156732464205533672664436255354522525425422170747532651251242454270615542226373270174141373154046503511135336766402161733200166041,1,-45.40685
2.64,28,120050763756141417637313656231117773244774551323320410715750220536663246510527442324323467430301702341100540553313156732464205533672664436255354522525425422170747532651251242454270615542226373270174141373154046503511135336766402161733200166041,1.2,-43.59386
2.74,29,120050763756141417637313656231117773244774551323320410715750220536663246510527442324323467430301702341100540553313156732464205533672664436255354522525425422170747532651251242454270615542226373270174141373154046503511135336766402161733200166041,1.5,-44.1655
2.839999,30,120050763756141417637313656231117773244774551323320410715750220536663246510527442324323467430301702341100540553313156732464205533672664436255354522525425422170747532651251242454270615542226373270174141373154046503511135336766402161733200166041,1.1,-29.33075
2.939999,31,120050763756141417637313656231117773244774551323320410715750220536663246510527442324323467430301702341100540553313156732464205533672664436255354522525425422170747532651251242454270615542226373270174141373154046503511135336766402161733200166041,1.15,-20.0229
3.039999,32,120050763756141417637313656231117773244774551323320410715750220536663246510527442324323467430301702341100540553313156732464205533672664436255354522525425422170747532651251242454270615542226373270174141373154046503511135336766402161733200166041,1.3,-35.47279
3.139999,33,120050763756141417637313656231117773244774551323320410715750220536663246510527442324323467430301702341100540553313156732464205533672664436255354522525425422170747532651251242454270615542226373270174141373154046503511135336766402161733200166041,1.15,-51.15385
3.239999,34,120050763756141417637313656231117773244774551323320410715750220536663246510527442324323467430301702341100540553313156732464205533672664436255354522525425422170747532651251242454270615542226373270174141373154046503511135336766402161733200166041,1.2,-38.36068
