ElapsedTime,Epoch,BestDNA,RewardOfBestDNA,AvgRewardCurEpoch
0.02,1,,-1,-370.8594
0.04,2,134732651062610743312376665054106254415005627566210277015357475635354560330411665565607540067622153054613411432234670362114306330346227224666657755335662155177654112074267673475453342420574774577550537077715646257443664665744127032217332557764,-31.15,-261.5733
0.14,3,516234603074524245462430146116773060064145563721423542502477742440460503151147137102621172767715026372674012151563477751304306330346227224666657755335662155177654112074267673475453342420574774577550537077715646257443664665744127032217332557764,-17.39,-198.5885
0.24,4,104777562442321566755772156611517065212456526610744540341332031363771014402564441753531024525332561363710432000460626745013116231215473077135743351433325667611763732730411017434471155656176757323112246752771513662512310400604675123040723440171,-25.66,-152.6226
0.34,5,516234603074524245462430146116773060064145563721423542502477742440460503151147137102621172767715026372674012151563477751302733607130346454442007562176632676555225264307551466467443315362301355146462145370554265740157245353561341676647123374573,-7.7,-101.9804
0.44,6,661246222157622145751640233222534255532305563173111302151243175332721206026012423335177775136575517671527013101173271050402733607130346454442007562176632676555225264307551466467443315362301355146462145370554265740157245353561341676647123374573,-1.85,-70.2032
0.54,7,104777562442321566755772156611517065212456526610744540341332031363771014402564441753531024525332561363710432000460626745011747541162416531050300071171166253547065714113573565562746470602020736074117255701442757704426274432674055701162245201317,-4.76,-68.20593
0.64,8,661246222157622145751640233222534255532305563173111302151243175332721206026012423335177775136575517671527013101173271050401747541162416531050300071171166253547065714113573565562746470602020736074117255701442757704426274432674055701162245201317,-6.89,-57.62345
0.7400001,9,516234603074524245462430146116773060064145563721423542502477742440460503151147137102621172767715026372674012151563477751302733607130346454442007562176632676555225264307551466467443315362301355146462145370554265740157245353561341676647123374573,-2.63,-49.95156
0.8400001,10,516234603074524245462430146116773060064145563721423542502477742440460503151147137102621172767715026372674012151563477751304306330346227224666657755335662155177654112074267673475453342420574774577550537077715646257443664665744127032217332557764,-4.77,-42.72895
0.9400001,11,661246222157622145751640233222534255532305563173111302151243175332721206026012423335177775136575517671527013101173271050404306330346227224666657755335662155177654112074267673475453342420574774577550537077715646257443664665744127032217332557764,-3.82,-38.1374
1.04,12,104777562442321566755772156611517065212456526610744540341332031363771014402564441753531024525332561363710432000460626745014306330346227224666657755335662155177654112074267673475453342420574774577550537077715646257443664665744127032217332557764,-6.14,-37.16681
1.14,13,516234603074524245462430146116773060064145563721423542502477742440460503151147137102621172767715026372674012151563477751304306330346227224666657755335662155177654112074267673475453342420574774577550537077715646257443664665744127032217332557764,-3.43,-36.6867
1.24,14,516234603074524245462430146116773060064145563721423542502477742440460503151147137102621172767715026372674012151563477751302733607130346454442007562176632676555225264307551466467443315362301355146462145370554265740157245353561341676647123374573,-3.6,-35.16179
1.34,15,104777562442321566755772156611517065212456526610744540341332031363771014402564441753531024525332561363710432000460626745014306330346227224666657755335662155177654112074267673475453342420574774577550537077715646257443664665744127032217332557764,-5.03,-25.147
1.44,16,516234603074524245462430146116773060064145563721423542502477742440460503151147137102621172767715026372674012151563477751304306330346227224666657755335662155177654112074267673475453342420574774577550537077715646257443664665744127032217332557764,-5.36,-43.43938
1.54,17,104777562442321566755772156611517065212456526610744540341332031363771014402564441753531024525332561363710432000460626745014306330346227224666657755335662155177654112074267673475453342420574774577550537077715646257443664665744127032217332557764,-3.17,-29.06369
1.64,18,104777562442321566755772156611517065212456526610744540341332031363771014402564441753531024525332561363710432000460626745014306330346227224666657755335662155177654112074267673475453342420574774577550537077715646257443664665744127032217332557764,-4.52,-25.8984
1.74,19,104777562442321566755772156611517065212456526610744540341332031363771014402564441753531024525332561363710432000460626745014306330346227224666657755335662155177654112074267673475453342420574774577550537077715646257443664665744127032217332557764,-3.52,-22.5115
1.84,20,104777562442321566755772156611517065212456526610744540341332031363771014402564441753531024525332561363710432000460626745014306330346227224666657755335662155177654112074267673475453342420574774577550537077715646257443664665744127032217332557764,-4.93,-29.90819
1.94,21,516234603074524245462430146116773060064145563721423542502477742440460503151147137102621172767715026372674012151563477751304306330346227224666657755335662155177654112074267673475453342420574774577550537077715646257443664665744127032217332557764,-4.77,-33.7252
2.04,22,104777562442321566755772156611517065212456526610744540341332031363771014402564441753531024525332561363710432000460626745014306330346227224666657755335662155177654112074267673475453342420574774577550537077715646257443664665744127032217332557764,-2.66,-26.91115
2.14,23,104777562442321566755772156611517065212456526610744540341332031363771014402564441753531024525332561363710432000460626745014306330346227224666657755335662155177654112074267673475453342420574774577550537077715646257443664665744127032217332557764,-4.52,-33.26944
2.24,24,104777562442321566755772156611517065212456526610744540341332031363771014402564441753531024525332561363710432000460626745014306330346227224666657755335662155177654112074267673475453342420574774577550537077715646257443664665744127032217332557764,-2.32,-37.58385
2.34,25,104777562442321566755772156611517065212456526610744540341332031363771014402564441753531024525332561363710432000460626745014306330346227224666657755335662155177654112074267673475453342420574774577550537077715646257443664665744127032217332557764,-3.22,-47.30481
2.44,26,104777562442321566755772156611517065212456526610744540341332031363771014402564441753531024525332561363710432000460626745014306330346227224666657755335662155177654112074267673475453342420574774577550537077715646257443664665744127032217332557764,-5.19,-28.9182
2.54,27,104777562442321566755772156611517065212456526610744540341332031363771014402564441753531024525332561363710432000460626745014306330346227224666657755335662155177654112074267673475453342420574774577550537077715646257443664665744127032217332557764,-4.59,-36.1547
2.64,28,104777562442321566755772156611517065212456526610744540341332031363771014402564441753531024525332561363710432000460626745014306330346227224666657755335662155177654112074267673475453342420574774577550537077715646257443664665744127032217332557764,-4.89,-31.47612
2.74,29,104777562442321566755772156611517065212456526610744540341332031363771014402564441753531024525332561363710432000460626745014306330346227224666657755335662155177654112074267673475453342420574774577550537077715646257443664665744127032217332557764,-2.66,-28.82676
2.839999,30,104777562442321566755772156611517065212456526610744540341332031363771014402564441753531024525332561363710432000460626745017067043040410325570374514765100704461276137175524427536557331007530226724163653327273151064440027117175346062075575525072,-0.25,-28.78201
2.939999,31,104777562442321566755772156611517065212456526610744540341332031363771014402564441753531024525332561363710432000460626745017067043040410325570374514765100704461276137175524427536557331007530226724163653327273151064440027117175346062075575525072,2.12,-25.31256
3.039999,32,104777562442321566755772156611517065212456526610744540341332031363771014402564441753531024525332561363710432000460626745017067043040410325570374514765100704461276137175524427536557331007530226724163653327273151064440027117175346062075575525072,3.9,-36.22218
3.139999,33,104777562442321566755772156611517065212456526610744540341332031363771014402564441753531024525332561363710432000460626745017067043040410325570374514765100704461276137175524427536557331007530226724163653327273151064440027117175346062075575525072,4.4,-27.7049
3.239999,34,104777562442321566755772156611517065212456526610744540341332031363771014402564441753531024525332561363710432000460626745017067043040410325570374514765100704461276137175524427536557331007530226724163653327273151064440027117175346062075575525072,4,-42.43927
3.339999,35,104777562442321566755772156611517065212456526610744540341332031363771014402564441753531024525332561363710432000460626745017067043040410325570374514765100704461276137175524427536557331007530226724163653327273151064440027117175346062075575525072,4.5,-27.37574
3.439999,36,104777562442321566755772156611517065212456526610744540341332031363771014402564441753531024525332561363710432000460626745017067043040410325570374514765100704461276137175524427536557331007530226724163653327273151064440027117175346062075575525072,3.8,-23.9083
3.539999,37,104777562442321566755772156611517065212456526610744540341332031363771014402564441753531024525332561363710432000460626745017067043040410325570374514765100704461276137175524427536557331007530226724163653327273151064440027117175346062075575525072,4.4,-16.80765
