ElapsedTime,Epoch,BestDNA,RewardOfBestDNA,CansPickedUpByBest,AvgRewardCurEpoch
3.139999,33,032210246315606155240436325630511404324033601635252543300153406265351345545616143455353230243241142361625153356054345415504543613115064321403042023066402102061130425313455514356454044011324415460451436335145623452333446130416513264650066344544,4.1,0,-4.552234
3.239999,34,032210246315606155240436325630511404324033601635252543300153406265351345545616143455353230243241142361625153356054345415504543613115064321403042023066402102061130425313455514356454044011324415460451436335145623452333446130416513264650066344544,4.7,0,-9.067508
3.339999,35,032210246315606155240436325630511404324033601635252543300153406265351345545616143455353230243241142361625153356054345415504543613115064321403042023066402102061130425313455514356454044011324415460451436335145623452333446130416513264650066344544,4.45,1,0.0096
3.439999,36,032210246315606155240436325630511404324033601635252543300153406265351345545616143455353230243241142361625153356054345415504543613115064321403042023066402102061130425313455514356454044011324415460451436335145623452333446130416513264650066344544,3.65,0,-3.850333
3.539999,37,032210246315606155240436325630511404324033601635252543300153406265351345545616143455353230243241142361625153356054345415504543613115064321403042023066402102061130425313455514356454044011324415460451436335145623452333446130416513264650066344544,4.4,0,-0.8303334
3.639999,38,032210246315606155240436325630511404324033601635252543300153406265351345545616143455353230243241142361625153356054345415504543613115064321403042023066402102061130425313455514356454044011324415460451436335145623452333446130416513264650066344544,5.05,1,-3.1848
3.739999,39,032210246315606155240436325630511404324033601635252543300153406265351345545616143455353230243241142361625153356054345415504543613115064321403042023066402102061130425313455514356454044011324415460451436335145623452333446130416513264650066344544,3.9,0,-4.038233
3.839998,40,032210246315606155240436325630511404324033601635252543300153406265351345545616143455353230243241142361625153356054345415504543613115064321403042023066402102061130425313455514356454044011324415460451436335145623452333446130416513264650066344544,4.45,1,-6.435567
3.939998,41,032210246315606155240436325630511404324033601635252543300153406265351345545616143455353230243241142361625153356054345415504543613115064321403042023066402102061130425313455514356454044011324415460451436335145623452333446130416513264650066344544,4.05,0,-5.973733
4.039999,42,032210246315606155240436325630511404324033601635252543300153406265351345545616143455353230243241142361625153356054345415504543613115064321403042023066402102061130425313455514356454044011324415460451436335145623452333446130416513264650066344544,4.3,1,-2.635867
4.139998,43,032210246315606155240436325630511404324033601635252543300153406265351345545616143455353230243241142361625153356054345415504543613115064321403042023066402102061130425313455514356454044011324415460451436335145623452333446130416513264650066344544,3.7,0,-6.660833
4.239998,44,032210246315606155240436325630511404324033601635252543300153406265351345545616143455353230243241142361625153356054345415504543613115064321403042023066402102061130425313455514356454044011324415460451436335145623452333446130416513264650066344544,3.6,1,-9.717432
4.339998,45,032210246315606155240436325630511404324033601635252543300153406265351345545616143455353230243241142361625153356054345415504543613115064321403042023066402102061130425313455514356454044011324415460451436335145623452333446130416513264650066344544,3.9,1,-1.363167
