ElapsedTime,Epoch,BestDNA,RewardOfBestDNA,CansPickedUpByBest,AvgRewardCurEpoch
0.02,1,-1,-1,0,-1
0.04,2,242222235025403503320262002113521026636152064426262153262034252626013234500256610264230550654366354320404355155551013514035514522100514001303054052202125203314300331152444666521410213022542222321606410525234460222304322554241242423015062053126,0,0,-435.0766
0.14,3,032405051321111040024043452365060433000021323325302535250056531303054415555354512545363623111330626525512514335155011125363660255225333110620062126261014255136322345066106545326624245304305334040444020301344120164566252201415140532146101533023,-1,0,-193.29
0.24,4,024046423461622423664412436625661053360040312150635235641641620511044233456323520402265504030265621302301511062314660505523163564532112130144152515034461363645440601356131431516433100013445403232510631200656025556220502530444462350050503413056,0,0,-125.657
0.34,5,332122266365042443254550460612144421300654125040452563323115245242645255266552553163003014413223600351034254364041154511163163564532112130144152515034461363645440601356131431516433100013445403232510631200656025556220502530444462350050503413056,0,0,-93.95602
0.44,6,353343250613134461016556555341220205266555650654453335314231200503663322045612434335420161154310665462011665521010422321431013342536513636243346236136411551512236336325415103506615635616344456536651652061053020453354422331125042146024335164222,-1,0,-82.20255
0.54,7,353343250613134461016556555341220205266555650654453335314231200503663322045612434335420161154310665462011665521010422321433163564532112130144152515034461363645440601356131431516433100013445403232510631200656025556220502530444462350050503413056,-2,0,-77.13649
0.64,8,024046423461622423664412436625661053360040312150635235641641620511044233456323520402265504030265621302301511062314660505520644416445143231424626051424142000406303311621125552023223301043403130651566131330111104125053512165202654342262205501040,-7.92,0,-80.31188
0.7400001,9,323514150553010603006405110243202406166353216154663215311042514004424646610320526220254210116116014112606253525654502162424661060145363220335314444634630600115646110604450536226136415615265125652111621653225345563351614241663516110000242316554,1.8,0,-75.62151
0.8400001,10,103524416036061511220633643141646264463562402620432433223513222504262252114556655405335064060041211235462423343063666600144444622504131443106624430461563166315123561643462354253610552602302263262621614015644000633416332553163432525300412635441,-31.39,0,-150.2226
0.9400001,11,665013626340415013305560261146305141606650666106430040560223601316141256551055242362063213445302453421306210366660162030234365604523610033131565136100222524451250315044461263016535240445033123163221156663516606264635320652153055612051345266043,-23.9,0,-79.0201
1.04,12,353343250613134461016556555341220205266555650654453335314231200503663322045612434335420161154310665462011665521010422321436460352451516106465225644442316252511312143513210401541640222561153515654603503261510321531651031126140420542613244162514,-40.86,0,-384.6626
1.14,13,433320145004242065606011255136014452435032205046500600326433345115602240552035465530614662162055024536142365552044625636600002156113235010334520321464325446204632632226262641601213021131325251663615335440225650015621000156600130151201043464653,-59.66,0,-243.1121
1.24,14,353343250613134461016556555341220205266555650654453335314231200503663322045612434335420161154310665462011665521010422321430002156113235010334520321464325446204632632226262641601213021131325251663615335440225650015621000156600130151201043464653,-25.47,0,-136.2988
1.34,15,665013626340415013305560261146305141606650666106430040560223601316141256551055242362063213445302453421306210366660162030230002156113235010334520321464325446204632632226262641601213021131325251663615335440225650015621000156600130151201043464653,-21.5,0,-122.9316
1.44,16,665013626340415013305560261146305141606650666106430040560223601316141256551055242362063213445302453421306210366660162030230002156113235010334520321464325446204632632226262641601213021131325251663615335440225650015621000156600130151201043464653,-24.2,0,-90.6853
1.54,17,353343250613134461016556555341220205266555650654453335314231200503663322045612434335420161154310665462011665521010422321434444622504131443106624430461563166315123561643462354253610552602302263262621614015644000633416332553163432525300412635441,-6.02,0,-54.75676
1.64,18,665013626340415013305560261146305141606650666106430040560223601316141256551055242362063213445302453421306210366660162030234444622504131443106624430461563166315123561643462354253610552602302263262621614015644000633416332553163432525300412635441,-18.32,0,-75.80948
1.74,19,665013626340415013305560261146305141606650666106430040560223601316141256551055242362063213445302453421306210366660162030234444622504131443106624430461563166315123561643462354253610552602302263262621614015644000633416332553163432525300412635441,-30.5,0,-92.38219
1.84,20,665013626340415013305560261146305141606650666106430040560223601316141256551055242362063213445302453421306210366660162030234444622504131443106624430461563166315123561643462354253610552602302263262621614015644000633416332553163432525300412635441,-6.45,0,-39.3952
1.94,21,665013626340415013305560261146305141606650666106430040560223601316141256551055242362063213445302453421306210366660162030234444622504131443106624430461563166315123561643462354253610552602302263262621614015644000633416332553163432525300412635441,-30.25,0,-70.4175
2.04,22,353343250613134461016556555341220205266555650654453335314231200503663322045612434335420161154310665462011665521010422321434444622504131443106624430461563166315123561643462354253610552602302263262621614015644000633416332553163432525300412635441,-18.89,0,-67.59721
2.14,23,665013626340415013305560261146305141606650666106430040560223601316141256551055242362063213445302453421306210366660162030234444622504131443106624430461563166315123561643462354253610552602302263262621614015644000633416332553163432525300412635441,-62.4,0,-100.9112
2.24,24,665013626340415013305560261146305141606650666106430040560223601316141256551055242362063213445302453421306210366660162030234444622504131443106624430461563166315123561643462354253610552602302263262621614015644000633416332553163432525300412635441,-7.15,0,-39.31084
2.34,25,665013626340415013305560261146305141606650666106430040560223601316141256551055242362063213445302453421306210366660162030234444622504131443106624430461563166315123561643462354253610552602302263262621614015644000633416332553163432525300412635441,-31.92,0,-75.508
2.44,26,665013626340415013305560261146305141606650666106430040560223601316141256551055242362063213445302453421306210366660162030234444622504131443106624430461563166315123561643462354253610552602302263262621614015644000633416332553163432525300412635441,-53.08,0,-79.7179
2.54,27,665013626340415013305560261146305141606650666106430040560223601316141256551055242362063213445302453421306210366660162030234444622504131443106624430461563166315123561643462354253610552602302263262621614015644000633416332553163432525300412635441,-42.06,0,-93.26328
