ElapsedTime,Epoch,BestDNA,RewardOfBestDNA,AvgRewardCurEpoch
0.02,1,,-1,-381.2174
0.04,2,064561563071427761070320360641720223543570666335747552001643343252172332516610656516504225614020611375733665556174077416506203077535323403730234071464324203321162332570266646456673711365516171447744300424140734752337354207410777774723702642544,-33.79,-273.1441
0.14,3,001347600424136624142563671662553621510543421727746410040077264554224670343461013642332027326123604602710323446136010060711247322404610151216275524327521446306105446274753661464725165004052432345121645177466413361250673457066123353127463701004,-24.6,-214.6822
0.24,4,001347600424136624142563671662553621510543421727746410040077264554224670343461013642332027326123604602710323446136010060711247322404610151216275524327521446306105446274753661464725165004052432345121645177466413361250673457066123353127463701004,-23.56,-162.7649
0.34,5,277443774133511641526256630741052046070756610037066265525572431243440177012460463756731467743474712114326257335032527226505214340305246303411234305351723252714341244523565652163720043406233632574113434704252756670726706052143335275365616607423,-10.36,-152.639
0.44,6,014643122144036113561167325255571176272520274662005601750616275342526573434073321653542751355461742633503013201330317122703523224635312547025316127654455400763340755301762241647465240526713426500725337304461656401652557157607034702135546002240,-15.53,-131.5155
0.54,7,452137740560132565242000642176652123774206543662440416361245065542376063522040451733736140467764475705512507146407070203411247322404610151216275524327521446306105446274753661464725165004052432345121645177466413361250673457066123353127463701004,-9.99,-76.615
0.64,8,232046111332617151126135422717576171341165266543437054011224616252256047362774120044157225014716545055523347721142264262571247322404610151216275524327521446306105446274753661464725165004052432345121645177466413361250673457066123353127463701004,-10.73,-56.9487
0.7400001,9,001347600424136624142563671662553621510543421727746410040077264554224670343461013642332027326123604602710323446136010060715214340305246303411234305351723252714341244523565652163720043406233632574113434704252756670726706052143335275365616607423,-1.99,-40.86625
0.8400001,10,277443774133511641526256630741052046070756610037066265525572431243440177012460463756731467743474712114326257335032527226505214340305246303411234305351723252714341244523565652163720043406233632574113434704252756670726706052143335275365616607423,2.5,-48.19056
0.9400001,11,232046111332617151126135422717576171341165266543437054011224616252256047362774120044157225014716545055523347721142264262572316100770421120125564674335346307253156762036572350565757726653100746111150017722527272045666350151252442047116073446430,0.9,-40.74916
1.04,12,232046111332617151126135422717576171341165266543437054011224616252256047362774120044157225014716545055523347721142264262572316100770421120125564674335346307253156762036572350565757726653100746111150017722527272045666350151252442047116073446430,0.5,-34.22585
1.14,13,313616157773660654062653423760745401441345260632141540772101644470745375535225001512247270425574767054633261221533022020342316100770421120125564674335346307253156762036572350565757726653100746111150017722527272045666350151252442047116073446430,1.1,-38.63275
1.24,14,232046111332617151126135422717576171341165266543437054011224616252256047362774120044157225014716545055523347721142264262575214340305246303411234305351723252714341244523565652163720043406233632574113434704252756670726706052143335275365616607423,2.6,-37.68091
1.34,15,313616157773660654062653423760745401441345260632141540772101644470745375535225001512247270425574767054633261221533022020342316100770421120125564674335346307253156762036572350565757726653100746111150017722527272045666350151252442047116073446430,1.5,-17.5144
1.44,16,313616157773660654062653423760745401441345260632141540772101644470745375535225001512247270425574767054633261221533022020342316100770421120125564674335346307253156762036572350565757726653100746111150017722527272045666350151252442047116073446430,1.5,-27.09496
1.54,17,157237070216254460466514651524435412114050203601467714253264653630350234655307665701242174456357761510730643027276027056022316100770421120125564674335346307253156762036572350565757726653100746111150017722527272045666350151252442047116073446430,1.6,-18.4446
1.64,18,313616157773660654062653423760745401441345260632141540772101644470745375535225001512247270425574767054633261221533022020342316100770421120125564674335346307253156762036572350565757726653100746111150017722527272045666350151252442047116073446430,1.7,-17.76105
1.74,19,157237070216254460466514651524435412114050203601467714253264653630350234655307665701242174456357761510730643027276027056022316100770421120125564674335346307253156762036572350565757726653100746111150017722527272045666350151252442047116073446430,1.7,-16.98105
