ElapsedTime,Epoch,BestDNA,RewardOfBestDNA,CansPickedUpByBest,AvgRewardCurEpoch
0.02,1,-1,-1,0,-1
0.04,2,340540153305500620211500411245202235623134146140021134606000026541114211600552063156661363244305325001000030336353411443364216020140433414321540204026101062614640335404412112503436115344563414213432116620512420323154230362630026555031124224154,0,0,-438.8867
0.14,3,432250400041304103120616550534565514562634131054422645035561112000512664231206521456143445420336040545005144263503025024656064463536454133401054423345316520124201601640102324056344533231350533000415112034106446402140001600363124232331656432060,-1.99,0,-236.9846
0.24,4,342611234661363452405232453464636043143204103053424413263220403221553065436066124364246226240042420400123023430206114663203665142665554642441455031264243403010315625461163355002464006441561504351155105166304261466602636265113534614022146023346,0.1,0,-194.5734
0.34,5,553412063140106046140015404315240450652262153244151561143326326304436663606441466613344542145152266251334223605554060141320051460522213504014554260004446545015356363124115514302534151443423110033435441601356462113501335166162135302504446444401,0,0,-152.1723
0.44,6,150641011245536241202141154556315065053156116021400636550164523464251063424434636445045002430510050646615565025365556551334216020140433414321540204026101062614640335404412112503436115344563414213432116620512420323154230362630026555031124224154,0,0,-118.2808
0.54,7,635633040655155003324415336120535150106310262102625534056416220361661360604603326302324222346341404601461462106155243524441034420050523325442642610635110151416550330642254234111121005411340341142211561261121614502351233642416610660624002660231,-0.15,0,-157.1525
0.64,8,635633040655155003324415336120535150106310262102625534056416220361661360604603326302324222346341404601461462106155243524444616035356054356115201324623356614543062504143153505552431341455665550250226461401552465524411110024061122202516024034020,0.2,0,-92.00292
0.7400001,9,635633040655155003324415336120535150106310262102625534056416220361661360604603326302324222346341404601461462106155243524441034420050523325442642610635110151416550330642254234111121005411340341142211561261121614502351233642416610660624002660231,0,0,-75.80775
0.8400001,10,164262055015551242051641516155035110126312026214145101205624542210050554156541102335150152624505506200534324236435200236052266656140223120111121011251212335042023255365430545340141314321353625206161305333565651525634306635652066223031164541440,0.1,0,-81.51459
0.9400001,11,524233526221611565315313660013414465336642646111325551536265655330644261560162210614253141230124143655410662024511651002322224364531361153616362550144431635141251126301441521305440200120424635355440346434435350251505242222206455506056426314606,0,0,-92.51823
1.04,12,612444452113313542613266211005216161466143536312644244145631600065002641354160115562224105036302205042125320601364003106322224364531361153616362550144431635141251126301441521305440200120424635355440346434435350251505242222206455506056426314606,0,0,-189.6649
1.14,13,345044265251320256465011121236224146151101545065521003350323605606020334603524125023023666634003141344342311434011264264242224364531361153616362550144431635141251126301441521305440200120424635355440346434435350251505242222206455506056426314606,-110,0,-188.8467
1.24,14,345044265251320256465011121236224146151101545065521003350323605606020334603524125023023666634003141344342311434011264264246416126222614011464565131141616510502603223112213361333510214134456131004603330614123242543200164423551201062315335666414,-68.98,1,-202.9445
1.34,15,612444452113313542613266211005216161466143536312644244145631600065002641354160115562224105036302205042125320601364003106322224364531361153616362550144431635141251126301441521305440200120424635355440346434435350251505242222206455506056426314606,-60,0,-174.1934
1.44,16,620623465440353054654455062436606500265233014354032323024344631234516104625631544130050205362164450146255162526346064620205652132426525126262446552163126525312455352543262161505551500260600602463455615166003640541314236214141662035406234131666,-67.9,0,-152.9092
1.54,17,620623465440353054654455062436606500265233014354032323024344631234516104625631544130050205362164450146255162526346064620205652132426525126262446552163126525312455352543262161505551500260600602463455615166003640541314236214141662035406234131666,-73.8,0,-183.2768
1.64,18,620623465440353054654455062436606500265233014354032323024344631234516104625631544130050205362164450146255162526346064620202224364531361153616362550144431635141251126301441521305440200120424635355440346434435350251505242222206455506056426314606,-80,0,-271.7499
1.74,19,620623465440353054654455062436606500265233014354032323024344631234516104625631544130050205362164450146255162526346064620202224364531361153616362550144431635141251126301441521305440200120424635355440346434435350251505242222206455506056426314606,-130,0,-278.6372
1.84,20,034152011065211565145013303641100163231264444254263450002520525030612032502526160213603322601246635365026211601224666345052224364531361153616362550144431635141251126301441521305440200120424635355440346434435350251505242222206455506056426314606,0,0,-259.9728
1.94,21,221536225135125104114241335502626204123026155354330611302625561253236254160046056251103235066531326365300213621125116645422224364531361153616362550144431635141251126301441521305440200120424635355440346434435350251505242222206455506056426314606,0,0,-226.7843
2.04,22,060435223055462116362302431302044261152652550035513246643414503424326614260142142246524412336622500500246011200140604110340240031413121630126541655140635546102313226450642261335220441530160456113613365345430126061216324323163326502610533450446,-29.07,0,-135.5691
2.14,23,215412644161355463105045106034550255036301264331021021403002122064445332020525145513556652364644562663260612236015011062412224364531361153616362550144431635141251126301441521305440200120424635355440346434435350251505242222206455506056426314606,0,0,-45.232
2.24,24,060435223055462116362302431302044261152652550035513246643414503424326614260142142246524412336622500500246011200140604110342224364531361153616362550144431635141251126301441521305440200120424635355440346434435350251505242222206455506056426314606,0,0,-23.736
2.34,25,060435223055462116362302431302044261152652550035513246643414503424326614260142142246524412336622500500246011200140604110342224364531361153616362550144431635141251126301441521305440200120424635355440346434435350251505242222206455506056426314606,-140,0,-154.1072
2.44,26,060435223055462116362302431302044261152652550035513246643414503424326614260142142246524412336622500500246011200140604110342224364531361153616362550144431635141251126301441521305440200120424635355440346434435350251505242222206455506056426314606,0,0,-15.4976
2.54,27,060435223055462116362302431302044261152652550035513246643414503424326614260142142246524412336622500500246011200140604110342224364531361153616362550144431635141251126301441521305440200120424635355440346434435350251505242222206455506056426314606,0,0,-107.7209
2.64,28,060435223055462116362302431302044261152652550035513246643414503424326614260142142246524412336622500500246011200140604110342224364531361153616362550144431635141251126301441521305440200120424635355440346434435350251505242222206455506056426314606,-150,0,-154.6388
2.74,29,060435223055462116362302431302044261152652550035513246643414503424326614260142142246524412336622500500246011200140604110342224364531361153616362550144431635141251126301441521305440200120424635355440346434435350251505242222206455506056426314606,-110,0,-138.5882
2.839999,30,060435223055462116362302431302044261152652550035513246643414503424326614260142142246524412336622500500246011200140604110342224364531361153616362550144431635141251126301441521305440200120424635355440346434435350251505242222206455506056426314606,-130,0,-130
2.939999,31,060435223055462116362302431302044261152652550035513246643414503424326614260142142246524412336622500500246011200140604110342224364531361153616362550144431635141251126301441521305440200120424635355440346434435350251505242222206455506056426314606,-30,0,-91.71445
3.039999,32,060435223055462116362302431302044261152652550035513246643414503424326614260142142246524412336622500500246011200140604110342224364531361153616362550144431635141251126301441521305440200120424635355440346434435350251505242222206455506056426314606,-40,0,-48.29755
3.139999,33,060435223055462116362302431302044261152652550035513246643414503424326614260142142246524412336622500500246011200140604110342224364531361153616362550144431635141251126301441521305440200120424635355440346434435350251505242222206455506056426314606,0,0,-90.02055
3.239999,34,060435223055462116362302431302044261152652550035513246643414503424326614260142142246524412336622500500246011200140604110342224364531361153616362550144431635141251126301441521305440200120424635355440346434435350251505242222206455506056426314606,-160,0,-162.0271
3.339999,35,060435223055462116362302431302044261152652550035513246643414503424326614260142142246524412336622500500246011200140604110342224364531361153616362550144431635141251126301441521305440200120424635355440346434435350251505242222206455506056426314606,0,0,-14.3503
3.439999,36,060435223055462116362302431302044261152652550035513246643414503424326614260142142246524412336622500500246011200140604110342224364531361153616362550144431635141251126301441521305440200120424635355440346434435350251505242222206455506056426314606,0,0,-92.39705
3.539999,37,060435223055462116362302431302044261152652550035513246643414503424326614260142142246524412336622500500246011200140604110342224364531361153616362550144431635141251126301441521305440200120424635355440346434435350251505242222206455506056426314606,0,0,-36.67655
3.639999,38,060435223055462116362302431302044261152652550035513246643414503424326614260142142246524412336622500500246011200140604110342224364531361153616362550144431635141251126301441521305440200120424635355440346434435350251505242222206455506056426314606,-140,0,-143.0585
3.739999,39,060435223055462116362302431302044261152652550035513246643414503424326614260142142246524412336622500500246011200140604110342224364531361153616362550144431635141251126301441521305440200120424635355440346434435350251505242222206455506056426314606,-120,0,-122.1096
3.839998,40,060435223055462116362302431302044261152652550035513246643414503424326614260142142246524412336622500500246011200140604110342224364531361153616362550144431635141251126301441521305440200120424635355440346434435350251505242222206455506056426314606,-180,0,-183.8896
3.939998,41,060435223055462116362302431302044261152652550035513246643414503424326614260142142246524412336622500500246011200140604110342224364531361153616362550144431635141251126301441521305440200120424635355440346434435350251505242222206455506056426314606,-80,0,-92.7458
4.039999,42,060435223055462116362302431302044261152652550035513246643414503424326614260142142246524412336622500500246011200140604110342224364531361153616362550144431635141251126301441521305440200120424635355440346434435350251505242222206455506056426314606,-210,0,-214.829
4.139998,43,060435223055462116362302431302044261152652550035513246643414503424326614260142142246524412336622500500246011200140604110342224364531361153616362550144431635141251126301441521305440200120424635355440346434435350251505242222206455506056426314606,-120,0,-125.8909
4.239998,44,060435223055462116362302431302044261152652550035513246643414503424326614260142142246524412336622500500246011200140604110342224364531361153616362550144431635141251126301441521305440200120424635355440346434435350251505242222206455506056426314606,-60,0,-60
4.339998,45,060435223055462116362302431302044261152652550035513246643414503424326614260142142246524412336622500500246011200140604110342224364531361153616362550144431635141251126301441521305440200120424635355440346434435350251505242222206455506056426314606,-10,0,-60.8655
4.439998,46,060435223055462116362302431302044261152652550035513246643414503424326614260142142246524412336622500500246011200140604110342224364531361153616362550144431635141251126301441521305440200120424635355440346434435350251505242222206455506056426314606,-20,0,-57.3246
4.539998,47,060435223055462116362302431302044261152652550035513246643414503424326614260142142246524412336622500500246011200140604110342224364531361153616362550144431635141251126301441521305440200120424635355440346434435350251505242222206455506056426314606,-110,0,-115.5168
