ElapsedTime,Epoch,BestDNA,RewardOfBestDNA,AvgRewardCurEpoch
0.02,1,,-1,-381.0448
0.04,2,116417576663433015111520736337553141644633447662053746415550765304472077776045020136520771514155371610154431227674002725010750254731127234336160634310326525162426372137177376741576215474574517154114317404263736302056064072426663477304510616057,-36.34,-262.1894
0.14,3,116417576663433015111520736337553141644633447662053746415550765304472077776045020136520771514155371610154431227674002725010601744264353614414641205127145110347165536247543560527770300651653072124164502737177300763644765334606200002055032401715,-28.51,-197.2086
0.24,4,432537774472121041743570356564322210235267440031452561765227215765770472214143402055151112400635602271151743745406605005530750254731127234336160634310326525162426372137177376741576215474574517154114317404263736302056064072426663477304510616057,-6.71,-151.0048
0.34,5,011314613710446425556310472755343005011155147332256274572340724363414476326012746731017065717765752202355212714211524326460601744264353614414641205127145110347165536247543560527770300651653072124164502737177300763644765334606200002055032401715,-7.68,-98.52932
0.44,6,775304701507030605276334336235755126147517247002053253753526713125166706173030704536614016372323760754512740164725157617240601744264353614414641205127145110347165536247543560527770300651653072124164502737177300763644765334606200002055032401715,-2.8,-63.83591
0.54,7,514776143005177006241513755340650106172262555445040521610245357774157413243022433454231453015215544355335300777471745071160750254731127234336160634310326525162426372137177376741576215474574517154114317404263736302056064072426663477304510616057,-3.06,-45.88255
0.64,8,320466205120761754057062267512217677337130466306143420504261060700746542461442510755605422304106304674003404436173151367220750254731127234336160634310326525162426372137177376741576215474574517154114317404263736302056064072426663477304510616057,1.65,-37.2837
0.7400001,9,514776143005177006241513755340650106172262555445040521610245357774157413243022433454231453015215544355335300777471745071160750254731127234336160634310326525162426372137177376741576215474574517154114317404263736302056064072426663477304510616057,2.1,-28.09734
0.8400001,10,423333242014244446251726075530560770342570464354517576657566267022456720766565555560307465430057505516466766474757740661610750254731127234336160634310326525162426372137177376741576215474574517154114317404263736302056064072426663477304510616057,1,-18.34995
0.9400001,11,514776143005177006241513755340650106172262555445040521610245357774157413243022433454231453015215544355335300777471745071160750254731127234336160634310326525162426372137177376741576215474574517154114317404263736302056064072426663477304510616057,3.15,-22.40249
1.04,12,775304701507030605276334336235755126147517247002053253753526713125166706173030704536614016372323760754512740164725157617240750254731127234336160634310326525162426372137177376741576215474574517154114317404263736302056064072426663477304510616057,2.45,-2.5167
1.14,13,514776143005177006241513755340650106172262555445040521610245357774157413243022433454231453015215544355335300777471745071160750254731127234336160634310326525162426372137177376741576215474574517154114317404263736302056064072426663477304510616057,2.9,-5.602748
1.24,14,514776143005177006241513755340650106172262555445040521610245357774157413243022433454231453015215544355335300777471745071160750254731127234336160634310326525162426372137177376741576215474574517154114317404263736302056064072426663477304510616057,2.4,-5.366849
1.34,15,514776143005177006241513755340650106172262555445040521610245357774157413243022433454231453015215544355335300777471745071160750254731127234336160634310326525162426372137177376741576215474574517154114317404263736302056064072426663477304510616057,2.5,-11.62815
1.44,16,514776143005177006241513755340650106172262555445040521610245357774157413243022433454231453015215544355335300777471745071160750254731127234336160634310326525162426372137177376741576215474574517154114317404263736302056064072426663477304510616057,2.1,-9.632702
1.54,17,514776143005177006241513755340650106172262555445040521610245357774157413243022433454231453015215544355335300777471745071160750254731127234336160634310326525162426372137177376741576215474574517154114317404263736302056064072426663477304510616057,2.6,-7.505252
1.64,18,514776143005177006241513755340650106172262555445040521610245357774157413243022433454231453015215544355335300777471745071160750254731127234336160634310326525162426372137177376741576215474574517154114317404263736302056064072426663477304510616057,2.15,-4.06605
1.74,19,514776143005177006241513755340650106172262555445040521610245357774157413243022433454231453015215544355335300777471745071160750254731127234336160634310326525162426372137177376741576215474574517154114317404263736302056064072426663477304510616057,2.35,-16.6849
1.84,20,514776143005177006241513755340650106172262555445040521610245357774157413243022433454231453015215544355335300777471745071160750254731127234336160634310326525162426372137177376741576215474574517154114317404263736302056064072426663477304510616057,2.8,-5.352999
1.94,21,514776143005177006241513755340650106172262555445040521610245357774157413243022433454231453015215544355335300777471745071160750254731127234336160634310326525162426372137177376741576215474574517154114317404263736302056064072426663477304510616057,2.15,-7.891896
2.04,22,514776143005177006241513755340650106172262555445040521610245357774157413243022433454231453015215544355335300777471745071160750254731127234336160634310326525162426372137177376741576215474574517154114317404263736302056064072426663477304510616057,2.1,-5.899548
2.14,23,514776143005177006241513755340650106172262555445040521610245357774157413243022433454231453015215544355335300777471745071160750254731127234336160634310326525162426372137177376741576215474574517154114317404263736302056064072426663477304510616057,2.3,-7.779799
2.24,24,514776143005177006241513755340650106172262555445040521610245357774157413243022433454231453015215544355335300777471745071160750254731127234336160634310326525162426372137177376741576215474574517154114317404263736302056064072426663477304510616057,2.3,-1.20805
2.34,25,514776143005177006241513755340650106172262555445040521610245357774157413243022433454231453015215544355335300777471745071160750254731127234336160634310326525162426372137177376741576215474574517154114317404263736302056064072426663477304510616057,2.65,-15.29321
2.44,26,514776143005177006241513755340650106172262555445040521610245357774157413243022433454231453015215544355335300777471745071160750254731127234336160634310326525162426372137177376741576215474574517154114317404263736302056064072426663477304510616057,2.25,-9.134298
2.54,27,514776143005177006241513755340650106172262555445040521610245357774157413243022433454231453015215544355335300777471745071160750254731127234336160634310326525162426372137177376741576215474574517154114317404263736302056064072426663477304510616057,2.5,-2.73245
2.64,28,514776143005177006241513755340650106172262555445040521610245357774157413243022433454231453015215544355335300777471745071160750254731127234336160634310326525162426372137177376741576215474574517154114317404263736302056064072426663477304510616057,2.2,-6.319299
2.74,29,514776143005177006241513755340650106172262555445040521610245357774157413243022433454231453015215544355335300777471745071160750254731127234336160634310326525162426372137177376741576215474574517154114317404263736302056064072426663477304510616057,2.45,-9.943899
2.839999,30,514776143005177006241513755340650106172262555445040521610245357774157413243022433454231453015215544355335300777471745071160750254731127234336160634310326525162426372137177376741576215474574517154114317404263736302056064072426663477304510616057,2.95,-9.823197
2.939999,31,514776143005177006241513755340650106172262555445040521610245357774157413243022433454231453015215544355335300777471745071160750254731127234336160634310326525162426372137177376741576215474574517154114317404263736302056064072426663477304510616057,3.4,-10.1024
3.039999,32,514776143005177006241513755340650106172262555445040521610245357774157413243022433454231453015215544355335300777471745071160750254731127234336160634310326525162426372137177376741576215474574517154114317404263736302056064072426663477304510616057,2.35,-4.303351
3.139999,33,514776143005177006241513755340650106172262555445040521610245357774157413243022433454231453015215544355335300777471745071160750254731127234336160634310326525162426372137177376741576215474574517154114317404263736302056064072426663477304510616057,2.55,-3.326751
