ElapsedTime,Epoch,BestDNA,RewardOfBestDNA,AvgRewardCurEpoch
0.02,1,,-1,-356.2334
0.04,2,620767036770760365247021547173045521462535157215472512126206517506020652425301066171726064477317703464754704323457433066326601007502627612315333314542036255247724417504215726756572276344417771013574247715541273651235656506672677437104273067722,-24.88,-277.0421
0.14,3,374207422605552765441175220340164147775332241126142620156765270655210656151302265015010706300555112363071776066216171772130476631163217341662424775303526572212202451002577617020410374160563757324253547656453326264161345062243130540273024511554,-25.31,-213.2688
0.24,4,374207422605552765441175220340164147775332241126142620156765270655210656151302265015010706300555112363071776066216171772130743257500043536415513143234073240007742563216427422740526635015231634125457175211140147152624444674462572262755561716471,-11.32,-190.6701
0.34,5,551001727643652050756133731707002527312722161667732156672064204507446440634151153544776227605236715135504152623310761231500743257500043536415513143234073240007742563216427422740526635015231634125457175211140147152624444674462572262755561716471,-31.13,-178.4305
0.44,6,340515420337566007051342353354266063132762416343004537715751143135007272101635411200526566315160606525612453105210172042370140217446246771417430132346206152416516227115574677220567123401502276057410740017221406251716767757136356170166005004513,-11.58,-145.7416
0.54,7,454522064124012440336012004054421424733070557050636567500523042205173407235711642137001213000126607655107272752556172257531045665510323740117620101121046655747177130316752225567570156033451136300741413675754725502235165017356607441304123533430,-6.79,-139.4323
0.64,8,453253164734232103373674021651315652572004554334120042612473010563063232334775063370022413730315455627671427047726442461110140217446246771417430132346206152416516227115574677220567123401502276057410740017221406251716767757136356170166005004513,-9.46,-102.8679
0.7400001,9,272353574274440106374274526473453544233220153576425120612513257513324252106477724775564464265521414440053002505702210076030140217446246771417430132346206152416516227115574677220567123401502276057410740017221406251716767757136356170166005004513,-1.08,-108.555
0.8400001,10,340515420337566007051342353354266063132762416343004537715751143135007272101635411200526566315160606525612453105210172042371045665510323740117620101121046655747177130316752225567570156033451136300741413675754725502235165017356607441304123533430,-0.6,-102.5918
0.9400001,11,272353574274440106374274526473453544233220153576425120612513257513324252106477724775564464265521414440053002505702210076030743257500043536415513143234073240007742563216427422740526635015231634125457175211140147152624444674462572262755561716471,-5.52,-95.10679
1.04,12,272353574274440106374274526473453544233220153576425120612513257513324252106477724775564464265521414440053002505702210076031045665510323740117620101121046655747177130316752225567570156033451136300741413675754725502235165017356607441304123533430,0,-99.09194
1.14,13,272353574274440106374274526473453544233220153576425120612513257513324252106477724775564464265521414440053002505702210076031045665510323740117620101121046655747177130316752225567570156033451136300741413675754725502235165017356607441304123533430,-0.75,-64.98326
1.24,14,542517641176164247764226731263150766202047115211141675021263025413545414303213426374460751616722457513531566400250041766141045665510323740117620101121046655747177130316752225567570156033451136300741413675754725502235165017356607441304123533430,-2.15,-94.64442
1.34,15,272353574274440106374274526473453544233220153576425120612513257513324252106477724775564464265521414440053002505702210076031045665510323740117620101121046655747177130316752225567570156033451136300741413675754725502235165017356607441304123533430,-0.35,-89.31547
1.44,16,551001727643652050756133731707002527312722161667732156672064204507446440634151153544776227605236715135504152623310761231501045665510323740117620101121046655747177130316752225567570156033451136300741413675754725502235165017356607441304123533430,-0.05,-77.83218
1.54,17,272353574274440106374274526473453544233220153576425120612513257513324252106477724775564464265521414440053002505702210076031045665510323740117620101121046655747177130316752225567570156033451136300741413675754725502235165017356607441304123533430,-0.3,-90.30748
1.64,18,272353574274440106374274526473453544233220153576425120612513257513324252106477724775564464265521414440053002505702210076031045665510323740117620101121046655747177130316752225567570156033451136300741413675754725502235165017356607441304123533430,-0.25,-63.11121
1.74,19,272353574274440106374274526473453544233220153576425120612513257513324252106477724775564464265521414440053002505702210076031045665510323740117620101121046655747177130316752225567570156033451136300741413675754725502235165017356607441304123533430,0.15,-83.20125
1.84,20,272353574274440106374274526473453544233220153576425120612513257513324252106477724775564464265521414440053002505702210076031045665510323740117620101121046655747177130316752225567570156033451136300741413675754725502235165017356607441304123533430,-0.15,-84.8566
1.94,21,272353574274440106374274526473453544233220153576425120612513257513324252106477724775564464265521414440053002505702210076031045665510323740117620101121046655747177130316752225567570156033451136300741413675754725502235165017356607441304123533430,0.05,-53.1162
2.04,22,272353574274440106374274526473453544233220153576425120612513257513324252106477724775564464265521414440053002505702210076031045665510323740117620101121046655747177130316752225567570156033451136300741413675754725502235165017356607441304123533430,0.25,-75.46172
2.14,23,272353574274440106374274526473453544233220153576425120612513257513324252106477724775564464265521414440053002505702210076031045665510323740117620101121046655747177130316752225567570156033451136300741413675754725502235165017356607441304123533430,-0.1,-88.60349
2.24,24,272353574274440106374274526473453544233220153576425120612513257513324252106477724775564464265521414440053002505702210076031045665510323740117620101121046655747177130316752225567570156033451136300741413675754725502235165017356607441304123533430,0.05,-78.23272
2.34,25,272353574274440106374274526473453544233220153576425120612513257513324252106477724775564464265521414440053002505702210076031045665510323740117620101121046655747177130316752225567570156033451136300741413675754725502235165017356607441304123533430,-0.1,-66.13142
2.44,26,272353574274440106374274526473453544233220153576425120612513257513324252106477724775564464265521414440053002505702210076031045665510323740117620101121046655747177130316752225567570156033451136300741413675754725502235165017356607441304123533430,-0.15,-97.30923
2.54,27,272353574274440106374274526473453544233220153576425120612513257513324252106477724775564464265521414440053002505702210076031045665510323740117620101121046655747177130316752225567570156033451136300741413675754725502235165017356607441304123533430,0.5,-82.78641
2.64,28,272353574274440106374274526473453544233220153576425120612513257513324252106477724775564464265521414440053002505702210076031045665510323740117620101121046655747177130316752225567570156033451136300741413675754725502235165017356607441304123533430,0.05,-73.19332
2.74,29,272353574274440106374274526473453544233220153576425120612513257513324252106477724775564464265521414440053002505702210076031045665510323740117620101121046655747177130316752225567570156033451136300741413675754725502235165017356607441304123533430,0.15,-57.3859
2.839999,30,272353574274440106374274526473453544233220153576425120612513257513324252106477724775564464265521414440053002505702210076031045665510323740117620101121046655747177130316752225567570156033451136300741413675754725502235165017356607441304123533430,0.2,-81.64011
