ElapsedTime,Epoch,BestDNA,RewardOfBestDNA,AvgRewardCurEpoch
0.02,1,,-1,-389.7153
0.04,2,107160222044625415435002517167160575150332754353472050234777561062743634476110056452557451070355522641755520752724165564724356614060141302762103325223427141650745323354623536264520226647104561521575561734520460133541417016112065557553445131002,-17.4,-277.5734
0.14,3,107160222044625415435002517167160575150332754353472050234777561062743634476110056452557451070355522641755520752724165564725523406665371655410754637036762754323375633644141361756222143230120714327552373171256202673205103726752276507421427145623,-5.43,-221.3778
0.24,4,655113147547713722644137243120310452620212066057563046277417106741133141142566765227654422652070700037144450201723765707453722371676720637047767524750217064350044756554454337715173705402050436106512022347564222677050501176771704522436762323545,-12.98,-193.0218
0.34,5,107160222044625415435002517167160575150332754353472050234777561062743634476110056452557451070355522641755520752724165564723722371676720637047767524750217064350044756554454337715173705402050436106512022347564222677050501176771704522436762323545,-4.51,-180.1625
0.44,6,107160222044625415435002517167160575150332754353472050234777561062743634476110056452557451070355522641755520752724165564725523406665371655410754637036762754323375633644141361756222143230120714327552373171256202673205103726752276507421427145623,-6.45,-137.1037
0.54,7,107160222044625415435002517167160575150332754353472050234777561062743634476110056452557451070355522641755520752724165564725523406665371655410754637036762754323375633644141361756222143230120714327552373171256202673205103726752276507421427145623,-8.35,-132.3874
0.64,8,143647417427156215202364521276734566753363721410704461534207524702442052277217717210627074603325226103240235172507027643120034221133367615210120052774073640125644546652154655324253264006720031462571320270773762304017575512356557165167577123037,-1.89,-141.0065
0.7400001,9,561611720503550463117025635134606423615154153171033642316525336060314622725717262313451002137557251731071716121601145711423402065305611121201673514415126214624027147300570574344154352630637034622457770671772067470562701077770654615215440556354,-2.03,-106.8728
0.8400001,10,655113147547713722644137243120310452620212066057563046277417106741133141142566765227654422652070700037144450201723765707450034221133367615210120052774073640125644546652154655324253264006720031462571320270773762304017575512356557165167577123037,0.1,-123.0329
0.9400001,11,655113147547713722644137243120310452620212066057563046277417106741133141142566765227654422652070700037144450201723765707450034221133367615210120052774073640125644546652154655324253264006720031462571320270773762304017575512356557165167577123037,0,-83.67697
1.04,12,107160222044625415435002517167160575150332754353472050234777561062743634476110056452557451070355522641755520752724165564720034221133367615210120052774073640125644546652154655324253264006720031462571320270773762304017575512356557165167577123037,0,-94.99285
1.14,13,107160222044625415435002517167160575150332754353472050234777561062743634476110056452557451070355522641755520752724165564720034221133367615210120052774073640125644546652154655324253264006720031462571320270773762304017575512356557165167577123037,0.3,-107.6113
1.24,14,107160222044625415435002517167160575150332754353472050234777561062743634476110056452557451070355522641755520752724165564720034221133367615210120052774073640125644546652154655324253264006720031462571320270773762304017575512356557165167577123037,0.75,-84.89379
1.34,15,107160222044625415435002517167160575150332754353472050234777561062743634476110056452557451070355522641755520752724165564720034221133367615210120052774073640125644546652154655324253264006720031462571320270773762304017575512356557165167577123037,0.35,-90.83012
1.44,16,107160222044625415435002517167160575150332754353472050234777561062743634476110056452557451070355522641755520752724165564722004222306773022664334142105111253200552274441152132324514015072305356775427561145762516632774515043320102755551235641433,0.8,-61.40543
1.54,17,107160222044625415435002517167160575150332754353472050234777561062743634476110056452557451070355522641755520752724165564722004222306773022664334142105111253200552274441152132324514015072305356775427561145762516632774515043320102755551235641433,2.55,-92.74501
1.64,18,107160222044625415435002517167160575150332754353472050234777561062743634476110056452557451070355522641755520752724165564722004222306773022664334142105111253200552274441152132324514015072305356775427561145762516632774515043320102755551235641433,1.05,-70.87814
1.74,19,107160222044625415435002517167160575150332754353472050234777561062743634476110056452557451070355522641755520752724165564722004222306773022664334142105111253200552274441152132324514015072305356775427561145762516632774515043320102755551235641433,0.45,-99.63969
1.84,20,107160222044625415435002517167160575150332754353472050234777561062743634476110056452557451070355522641755520752724165564722004222306773022664334142105111253200552274441152132324514015072305356775427561145762516632774515043320102755551235641433,1.44,-79.29443
1.94,21,107160222044625415435002517167160575150332754353472050234777561062743634476110056452557451070355522641755520752724165564722004222306773022664334142105111253200552274441152132324514015072305356775427561145762516632774515043320102755551235641433,1.1,-54.3585
