ElapsedTime,Epoch,BestDNA,RewardOfBestDNA,AvgRewardCurEpoch
0.02,1,,-1,-454.348
0.04,2,405302320422306354253500336441054131551643123120002331466433116564005344112053045042340343461321062420341065242431463465230202026110340310220400104346526044452242161166660062101561321433632331204656512030541413644403043154054533110030020415506,-117.82,-458.0081
0.14,3,553241553506656465366552052542165061540210065155022204006462540036330464364004336366302022164603050455013611502300315232005645130022302303600131324031163364653031503644164361303665241223206130234253232535455241444114636334266016320624022145411,-101.79,-449.7827
0.24,4,033625422003003461305210626325516556500213443003655430465023161133010032254235021450145354564513520161045105500252521634166500132163250644136665504420430043564310661262140351245126513413621225243622652211146266662450132044224454635655114325012,-87.24,-454.179
0.34,5,355202502430416621520054000501433665401031212133110422615501156010405366141235442050565625444456346430233562553631020636424355531065252115451116143043544200613001356101561263143640401631352512100522526035561005635400024253633314650603525650146,-140.61,-428.2965
0.44,6,065232253536464643160121644321205603343414635605365046443056360354555314660551636365215400532614432043210264223513220416052364323416240341621343351604566466310236162412656236356623460300421233424540255533524101553350541505440631545354665460644,-94.75,-444.35
0.54,7,154316611540450021020252126331345521260130252565111142035165051420556616106000112121221451516654111512011466435602426412421413330460524122300101432151365145644152436015416150006144056650062515156564414104162611151265331510143305451306516003662,-71.57,-441.0424
0.64,8,644650506533325035042301233443503456142023656666140636340363111106560155266532430141503201512465634663261442446440523030232065301143516241365244660362361025632403543361263516425554223062061452355526302255250553631311103602152026026503534334232,-74.95,-446.8116
0.7400001,9,612513245315336133240432344613606522345452545021404335333003353502436532452315446422126436341030560553031663515640646262325026414366031464601234142063132152105553454012155255602545354404123260343654503405252631134431561302540505600361051660455,-59.12,-464.8387
0.8400001,10,525045314144661616023665515131554153501311141315130142650030402254235555663026111432132551501126002006414256123603513462540644565414002604613622664561620436311201036260666204612515002144151661231161550022520161061053250600404362406043345601430,-70.01,-440.4414
0.9400001,11,540642530344251342650366466614020060420146214105134403425026005652201454316142230323411101046326535531254423232024356656230023616604014126014122326554662540402460541315465312151550544063654642051653214654242656633215011154622332310015416331442,-103.09,-449.1553
1.04,12,335026222163656126265134265551666514352625650502632656232466434646020530403413322236602404200023324663203143126065450055563150135653602013563642214665411345425455316225223532131110432544661462014455243151125500113450160450601242055410150326261,-86.83,-450.0228
1.14,13,333020606246126116662243540054366041141642224345440305166263520142410146335631543026414565614232202142152616420233220565101115336104623255251406664143045461044624633315555032633110456531502433444526100005255602156134560536035110345111356040655,-49.21,-463.6116
1.24,14,326436441532426350455411121035023164213400554356040111026560013265532352416064536602414410600251224544562361125064162036135214331102516145115415012420412115104154165536251122120425100354240031536442134364516662216652522512061105331362160005102,-62.5,-433.9446
1.34,15,354020055321563412020320312214533425455556555220421510104002063123632546245433313524412604224555033324302134361012604062062216340144410000061224540043655402444132013542225332253121043066304131434566340312110552066232366634650613433132501142535,-55.49,-463.7073
1.44,16,626440025231636432346043223363140112532335161661632253555512505031023025063056445202033033232143524213651233344334556655140250632253640412333606144200131416061143331515525361311641061430461440405562403041563141010265611632402312206343006065221,-50.13,-460.4496
1.54,17,416533341026050154130244350350245606333230603426524066122113306523155445155456025112541356420232015310563413500303520124436020005633665151554020022204542403546642325522560360654500325561414002640546455300216166505054402552441156042565465111101,-126.09,-442.2021
1.64,18,014242560025021544454606255101133140646442435236221043446340265334253406051524306102451353302602211435410562520660665530653021562366562452016543551360465106430606523622660535626155106204065044520525522113652053640366260304114112605643122051540,-86.54,-452.0297
1.74,19,106455256521622436330642643525414323125354523123131253313052251100232621634211443165253134452505402444404063541644241122165443350116050141230324215634362036355121321261653565012265110451000630343253266661255523234625042615434566606210652011240,-59.05,-456.03
1.84,20,102411002435461543015314126035065115505222561650256020251014263416163025601051061116354435462603006511330544103611551021612554213506106333652446326540666062001232155460551204315046123304410110160465251242146253500522656232666305603605033264436,-109.96,-444.9594

