ElapsedTime,Epoch,BestDNA,RewardOfBestDNA,CansPickedUpByBest,AvgRewardCurEpoch
0.02,1,-1,-1,0,-1
0.04,2,410554134301160234562515522015414166316134653414665150434461024456363155645066100424230355255665363432053421364460100505064326612503356255150520106146026401234142536255402100144360405323533144646206210335530425331204435015041343104304356621510,0,0,-415.9081
0.14,3,535615052361543023205613360346040254305155401041165112334112401464226063364166221125530045100151311625053550111535204425615010625056636156063033364606413063603334206642466253265423565330346154642512233346500631362101253356414323431413242644435,-2,0,-187.8995
0.24,4,550560410220400460553215146345240404536546163666266522325116536530226423106642536260322634431026650211040120401441654300443314303430513206612524266414435001646254015263142616024224306512531436221110212335426003625342340326525661241216442410523,0,0,-144.5573
0.34,5,350036054563152225624624566135340512315340204413000430065351551036454362312462112642453200254654145310650466332632125461050641402251010023461544116322231512004365516431450530404642313145623404560120211256144555235100062353205011453421146306233,0.4,0,-113.4758
0.44,6,664655265604204214202046325322266024322030522345015530026256440652356452653200021215640656302562032146600133360143403004610641402251010023461544116322231512004365516431450530404642313145623404560120211256144555235100062353205011453421146306233,0.5,0,-64.90261
0.54,7,253211043230500603200322664453012420252565614220314321230051061534414306160105016646062264136425060556563166156666414423420641402251010023461544116322231512004365516431450530404642313145623404560120211256144555235100062353205011453421146306233,0.3,0,-77.702
0.64,8,350036054563152225624624566135340512315340204413000430065351551036454362312462112642453200254654145310650466332632125461052640346401402542044363625051544553501011246525230340613641631422525424402125624313430523131152636540321550456053262156053,0.2,0,-66.26526
0.7400001,9,433146064463131220604662140643440043406531506101502435031316036200506315503231405113265653221342656201216621404050312326121101610622115102204165211124114214322222256642105450340250662013340162521104635634554203152506403254042324615521265222400,0,0,-96.27009
0.8400001,10,433146064463131220604662140643440043406531506101502435031316036200506315503231405113265653221342656201216621404050312326122640346401402542044363625051544553501011246525230340613641631422525424402125624313430523131152636540321550456053262156053,-10.75,0,-117.6822
0.9400001,11,003414202461620202524146426403344362503522304155361142244641513114612344556006214212326555126611200603553606114220555215446325165456311165252100630345632465603215305215222443100551152152415650452131420102145236362601210252363126162342332566225,-6.63,0,-252.3957
1.04,12,253211043230500603200322664453012420252565614220314321230051061534414306160105016646062264136425060556563166156666414423422640346401402542044363625051544553501011246525230340613641631422525424402125624313430523131152636540321550456053262156053,-1.9,0,-82.41529
1.14,13,461454004350035412114011322212165601114043404442000235343145230212014551232350020665404620142566533041612611050312122310051003631421334046225215552036223400251241223640136464163625534124646663301610236216100625656223156234643263006623543662045,-11.8,0,-85.35107
1.24,14,454161160152002066432013000145531255205004102563364655156601640044261211200035442551622250116334644304204530211456253121644146633546043224244346624224516201455015424220243104633241534664130456250506623151210314616132102504430146560350540665411,-23.91,0,-217.4802
1.34,15,454161160152002066432013000145531255205004102563364655156601640044261211200035442551622250116334644304204530211456253121644146633546043224244346624224516201455015424220243104633241534664130456250506623151210314616132102504430146560350540665411,-85.55,0,-218.2356
1.44,16,311300243641136100660650050623506442134031624253014250053262216213134530423326166155366463515321641006652326150643136240261204221011264334164213345026642204156003450113664661321160123123461545534215626025231023333264654460211610341643364234642,-81.58,0,-169.0456
1.54,17,311300243641136100660650050623506442134031624253014250053262216213134530423326166155366463515321641006652326150643136240261204221011264334164213345026642204156003450113664661321160123123461545534215626025231023333264654460211610341643364234642,-48.8,0,-212.8425
1.64,18,354255121455511512350662526630521345236051663635014535406601500160133630341640310610241001602650646615365365155332055663645406345302466604302662316131044101344110444134224563126435031016105413060402366301564462442361653223163613322524432246016,-19.76,0,-122.5703
1.74,19,311300243641136100660650050623506442134031624253014250053262216213134530423326166155366463515321641006652326150643136240266102305261063114103025652411312300365220054252416644321462003411531032506466223645034645300266600342516616063000606463522,-9.95,0,-144.0114
1.84,20,311300243641136100660650050623506442134031624253014250053262216213134530423326166155366463515321641006652326150643136240262640346401402542044363625051544553501011246525230340613641631422525424402125624313430523131152636540321550456053262156053,-112.56,0,-154.6681
1.94,21,311300243641136100660650050623506442134031624253014250053262216213134530423326166155366463515321641006652326150643136240262640346401402542044363625051544553501011246525230340613641631422525424402125624313430523131152636540321550456053262156053,-12.47,0,-184.6101
2.04,22,311300243641136100660650050623506442134031624253014250053262216213134530423326166155366463515321641006652326150643136240262640346401402542044363625051544553501011246525230340613641631422525424402125624313430523131152636540321550456053262156053,-102.14,0,-204.8459
2.14,23,311300243641136100660650050623506442134031624253014250053262216213134530423326166155366463515321641006652326150643136240261204221011264334164213345026642204156003450113664661321160123123461545534215626025231023333264654460211610341643364234642,-127.96,0,-166.0133
2.24,24,311300243641136100660650050623506442134031624253014250053262216213134530423326166155366463515321641006652326150643136240262640346401402542044363625051544553501011246525230340613641631422525424402125624313430523131152636540321550456053262156053,-0.3,0,-244.6396
2.34,25,461454004350035412114011322212165601114043404442000235343145230212014551232350020665404620142566533041612611050312122310051204221011264334164213345026642204156003450113664661321160123123461545534215626025231023333264654460211610341643364234642,-95.43,0,-176.2484
2.44,26,311300243641136100660650050623506442134031624253014250053262216213134530423326166155366463515321641006652326150643136240261204221011264334164213345026642204156003450113664661321160123123461545534215626025231023333264654460211610341643364234642,-31.37,0,-115.8145
2.54,27,311300243641136100660650050623506442134031624253014250053262216213134530423326166155366463515321641006652326150643136240261204221011264334164213345026642204156003450113664661321160123123461545534215626025231023333264654460211610341643364234642,-85.89,0,-163.091
2.64,28,311300243641136100660650050623506442134031624253014250053262216213134530423326166155366463515321641006652326150643136240261204221011264334164213345026642204156003450113664661321160123123461545534215626025231023333264654460211610341643364234642,-33.06,1,-73.50349
2.74,29,311300243641136100660650050623506442134031624253014250053262216213134530423326166155366463515321641006652326150643136240261204221011264334164213345026642204156003450113664661321160123123461545534215626025231023333264654460211610341643364234642,-169.03,0,-214.6536
2.839999,30,311300243641136100660650050623506442134031624253014250053262216213134530423326166155366463515321641006652326150643136240261204221011264334164213345026642204156003450113664661321160123123461545534215626025231023333264654460211610341643364234642,-25.98,0,-106.3901
2.939999,31,311300243641136100660650050623506442134031624253014250053262216213134530423326166155366463515321641006652326150643136240261204221011264334164213345026642204156003450113664661321160123123461545534215626025231023333264654460211610341643364234642,-28.61,0,-139.3415
3.039999,32,311300243641136100660650050623506442134031624253014250053262216213134530423326166155366463515321641006652326150643136240261204221011264334164213345026642204156003450113664661321160123123461545534215626025231023333264654460211610341643364234642,-34.18,0,-127.6821
3.139999,33,311300243641136100660650050623506442134031624253014250053262216213134530423326166155366463515321641006652326150643136240261204221011264334164213345026642204156003450113664661321160123123461545534215626025231023333264654460211610341643364234642,-57.07,0,-92.74086
3.239999,34,311300243641136100660650050623506442134031624253014250053262216213134530423326166155366463515321641006652326150643136240261204221011264334164213345026642204156003450113664661321160123123461545534215626025231023333264654460211610341643364234642,-135.08,0,-173.297
