ElapsedTime,Epoch,BestDNA,RewardOfBestDNA,CansPickedUpByBest,AvgRewardCurEpoch
0.02,1,-1,-1,0,-1
0.04,2,451352054042212466104512304353141103422044145644616333341502016654140505125265560140133434362543035210660215224204116221361010563544142360212054464131551010024123112032164100031442153615343562654456305634336224663055516061412441461026115612103,0.55,0,-442.1409
0.14,3,112235622106301134143401502225263052656652561006255146100540514165351245362233603150240312324405224240006141003241341123352313656454346432126565462564103054630012334113430035113405153513433621153440611026411030425542315102330400216433630010004,0,0,-175.9893
0.24,4,314414240302006130105626166345064441131545554650065524266451250500420021046063435261101153243265314505461324560112336533623564626005102326345266351521442220304043503442442015020460226065421306113500213662152234004002442226153632025411005351422,0,0,-109.534
0.34,5,202051155516462042126134256523363114211611004332412256445460435550025265330062153631126300215351441460250414516231124443161521245256545163023420213124235301160402305626154440506432305033130161434045514255460045360311142253316605534303435036641,1.3,1,-90.50597
0.44,6,622124443123256621156610035413412102352021264005661223345326050513621326656130443110214535453033440525423642062013644025356432530126636505251530130455322012303632025402422000545450640016354401244156524300203346345016122403362221652633252454413,0,0,-82.23975
0.54,7,545544020505615666211113066004014025511234624012020600503446055526022300400254634655241302625045511624423213525103061205311521245256545163023420213124235301160402305626154440506432305033130161434045514255460045360311142253316605534303435036641,-0.55,0,-79.31651
0.64,8,625350264044002646214001501264412601306465404626105364120033632540440362510111233323000050302656652315324536254341134322225402121315320432644240412245323563360621604426415125214406664632515130531520555602342344020513622554365543135631622113204,-4,0,-84.12315
0.7400001,9,061354443210163135061565260046353451466045113233623040345440013633425553306644566641111016455646335251100242012443503500311422052503052600506255100543442065061142224460143146635261162110241424241233335112225254562220243460140420123543253044110,0.25,0,-117.0238
0.8400001,10,006350402244365623150520364110124065403241541565612346530026003535511415315452461121204302115564661120265650223351044606616432530126636505251530130455322012303632025402422000545450640016354401244156524300203346345016122403362221652633252454413,-10,0,-106.6206
0.9400001,11,052624004405234465152163605121255034666552616155521225620262131305333642013623322256335256143640166311563112162110205333544404112313440616002411433216435611623430524425425260500413542046622343614543541204103366134062332132402113020140253026335,-20,0,-82.66598
1.04,12,434335660252234662643543563113665655234150544535322051263061645516121600230112424121510025646536421566305660623551464445441566505634113504204310266360212310662102251130246413262433553520046650046612545535140200455663014613443665465110644461032,-35.83,0,-138.3603
1.14,13,434335660252234662643543563113665655234150544535322051263061645516121600230112424121510025646536421566305660623551464445444404112313440616002411433216435611623430524425425260500413542046622343614543541204103366134062332132402113020140253026335,-95.04,0,-195.1339
1.24,14,434335660252234662643543563113665655234150544535322051263061645516121600230112424121510025646536421566305660623551464445444404112313440616002411433216435611623430524425425260500413542046622343614543541204103366134062332132402113020140253026335,-102.05,0,-123.9033
1.34,15,434335660252234662643543563113665655234150544535322051263061645516121600230112424121510025646536421566305660623551464445442310014156143314251454601311024216423206065500446014541525246152061566331464154545665542602363254035551010365332652241254,-85.86,0,-153.1145
1.44,16,434335660252234662643543563113665655234150544535322051263061645516121600230112424121510025646536421566305660623551464445442310014156143314251454601311024216423206065500446014541525246152061566331464154545665542602363254035551010365332652241254,-126.74,0,-212.716
1.54,17,103651106361545263514356205001023065054130222410560165042002241445553405255151544644555625312531046431023524240603426123144404112313440616002411433216435611623430524425425260500413542046622343614543541204103366134062332132402113020140253026335,-80.74,0,-132.4755
1.64,18,103651106361545263514356205001023065054130222410560165042002241445553405255151544644555625312531046431023524240603426123144404112313440616002411433216435611623430524425425260500413542046622343614543541204103366134062332132402113020140253026335,-151.51,0,-159.839
