ElapsedTime,Epoch,BestDNA,RewardOfBestDNA,CansPickedUpByBest,AvgRewardCurEpoch
0.02,1,-1,-1,0,-1
0.04,2,401256504101305025055301612432432161364604565250234405064044024636363030161530524012042515446622116413520020611506000400556400505541460514545632536142664316222656263623164343622434305166212531522462655526055602462400634336341301641346642561234,0.65,0,-421.2046
0.14,3,602123511401103551650114103405124456201454405012402063421055121356154300131434612362226605644223524121213556614443622301163536065526010033325541120026261066631616351453543402022501313600356116013524110520666156005411136221005140442554253265613,0,0,-176.4721
0.24,4,005520666623552112120610054313621220516561021456616531114123636120233252163631542601504543133142113312142433202115161613126066432433353202063443111521012556624560241034532444644516402340064243216523364010325561000025633046263665002062442461224,0,0,-138.1399
0.34,5,063126542341226351031453544406330502054500354416111502454100525111151432526612535443330013101130614622360612063605456446362042064601241045106653251613034255045453534124236563261561430016062502023634125642113336143624140114025663211451625341206,0.2,0,-95.41032
0.44,6,143301155360305502116050554310463260566225066261440052206452334604466361314150263316665322601430506140023403142522503422305115145104336423022225602654361102333036543024553040351564325011332464164144265606241115023061660562550320542010233216130,0.6,0,-49.4914
0.54,7,141265261162400201262646633354140110526435506242063220052031520154514500022661243046040561504564025224341324214314306112020340146414356136520046553224064430352051335164556150524100600413663611133622644454452404232366514503660666104130551456025,0.7,0,-51.93835
0.64,8,364355503655410445653326505435163166111226121635505053310066236233633106035462436462652151011234614251053550213006362433304022125450052522026104605160333453030503254324542646101114314645016460646116000222365655556614222151022322461016161635610,0.4,0,-58.72041
0.7400001,9,141265261162400201262646633354140110526435506242063220052031520154514500022661243046040561504564025224341324214314306112025115145104336423022225602654361102333036543024553040351564325011332464164144265606241115023061660562550320542010233216130,0.3,0,-31.1697
0.8400001,10,562442522343463156556564314440262101653325002425460552015462401611624461062044252452241063653165142213400015635362546131105115145104336423022225602654361102333036543024553040351564325011332464164144265606241115023061660562550320542010233216130,0,0,-20.79415
0.9400001,11,143301155360305502116050554310463260566225066261440052206452334604466361314150263316665322601430506140023403142522503422305115145104336423022225602654361102333036543024553040351564325011332464164144265606241115023061660562550320542010233216130,0.4,0,-17.25705
1.04,12,163512556532030656235652614314332552335131203322414424631253410506032425244545460165232104300534202565031122464040144230325115145104336423022225602654361102333036543024553040351564325011332464164144265606241115023061660562550320542010233216130,-12.03,0,-22.63785
1.14,13,143301155360305502116050554310463260566225066261440052206452334604466361314150263316665322601430506140023403142522503422306445650230340412224010652154413334464621101435544631102513463353600545054646044141161532624605310645241036601154646250351,-78.84,0,-172.0476
1.24,14,343215415562555314420030642202154564154266452012602500110231442622240600354352635531655352260200006243304545224422561433336445650230340412224010652154413334464621101435544631102513463353600545054646044141161532624605310645241036601154646250351,-46.25,0,-114.8402
1.34,15,343215415562555314420030642202154564154266452012602500110231442622240600354352635531655352260200006243304545224422561433335115145104336423022225602654361102333036543024553040351564325011332464164144265606241115023061660562550320542010233216130,-41.35,1,-139.1812
1.44,16,520005000231122634642220442302011501502511155336601363651041210025223265620654025423124436104564453314050156662314522332602254305503201410162642235412005134441122420243440605531515232046442645404256313100230162063540223405232643201405340222263,-61.87,0,-197.1817
1.54,17,343215415562555314420030642202154564154266452012602500110231442622240600354352635531655352260200006243304545224422561433335115145104336423022225602654361102333036543024553040351564325011332464164144265606241115023061660562550320542010233216130,-24.19,0,-89.57527
1.64,18,343215415562555314420030642202154564154266452012602500110231442622240600354352635531655352260200006243304545224422561433331040621641534612240622621446060252064125660111533150536521115204651535212602254351422366546522424405244046456223030125025,-40.15,0,-107.6352
1.74,19,343215415562555314420030642202154564154266452012602500110231442622240600354352635531655352260200006243304545224422561433335115145104336423022225602654361102333036543024553040351564325011332464164144265606241115023061660562550320542010233216130,-74.5,0,-213.3099
1.84,20,343215415562555314420030642202154564154266452012602500110231442622240600354352635531655352260200006243304545224422561433335115145104336423022225602654361102333036543024553040351564325011332464164144265606241115023061660562550320542010233216130,-97.4,0,-174.7106
1.94,21,343215415562555314420030642202154564154266452012602500110231442622240600354352635531655352260200006243304545224422561433335115145104336423022225602654361102333036543024553040351564325011332464164144265606241115023061660562550320542010233216130,-81.49,0,-191.6341
2.04,22,343215415562555314420030642202154564154266452012602500110231442622240600354352635531655352260200006243304545224422561433335115145104336423022225602654361102333036543024553040351564325011332464164144265606241115023061660562550320542010233216130,-64.59,0,-242.1058
2.14,23,343215415562555314420030642202154564154266452012602500110231442622240600354352635531655352260200006243304545224422561433335115145104336423022225602654361102333036543024553040351564325011332464164144265606241115023061660562550320542010233216130,-82.02,0,-246.5973
2.24,24,343215415562555314420030642202154564154266452012602500110231442622240600354352635531655352260200006243304545224422561433335115145104336423022225602654361102333036543024553040351564325011332464164144265606241115023061660562550320542010233216130,-57.4,0,-165.9918
2.34,25,343215415562555314420030642202154564154266452012602500110231442622240600354352635531655352260200006243304545224422561433331040621641534612240622621446060252064125660111533150536521115204651535212602254351422366546522424405244046456223030125025,-52.15,0,-149.4705
2.44,26,343215415562555314420030642202154564154266452012602500110231442622240600354352635531655352260200006243304545224422561433335115145104336423022225602654361102333036543024553040351564325011332464164144265606241115023061660562550320542010233216130,-77.35,0,-117.7196
2.54,27,246202546664414012525164423502363203502016550140026145601330656533110561505230445312210561340026305200542112363505140506465115145104336423022225602654361102333036543024553040351564325011332464164144265606241115023061660562550320542010233216130,-43.28,0,-136.0222
2.64,28,343215415562555314420030642202154564154266452012602500110231442622240600354352635531655352260200006243304545224422561433335115145104336423022225602654361102333036543024553040351564325011332464164144265606241115023061660562550320542010233216130,-59.82,0,-86.49261
2.74,29,343215415562555314420030642202154564154266452012602500110231442622240600354352635531655352260200006243304545224422561433335115145104336423022225602654361102333036543024553040351564325011332464164144265606241115023061660562550320542010233216130,-27.69,0,-35.79245
2.839999,30,343215415562555314420030642202154564154266452012602500110231442622240600354352635531655352260200006243304545224422561433335115145104336423022225602654361102333036543024553040351564325011332464164144265606241115023061660562550320542010233216130,-49.61,0,-98.85715
2.939999,31,343215415562555314420030642202154564154266452012602500110231442622240600354352635531655352260200006243304545224422561433335115145104336423022225602654361102333036543024553040351564325011332464164144265606241115023061660562550320542010233216130,-62.34,0,-101.127
3.039999,32,343215415562555314420030642202154564154266452012602500110231442622240600354352635531655352260200006243304545224422561433335115145104336423022225602654361102333036543024553040351564325011332464164144265606241115023061660562550320542010233216130,-28.46,0,-62.34592
3.139999,33,343215415562555314420030642202154564154266452012602500110231442622240600354352635531655352260200006243304545224422561433335115145104336423022225602654361102333036543024553040351564325011332464164144265606241115023061660562550320542010233216130,-48.74,0,-69.50269
3.239999,34,343215415562555314420030642202154564154266452012602500110231442622240600354352635531655352260200006243304545224422561433335115145104336423022225602654361102333036543024553040351564325011332464164144265606241115023061660562550320542010233216130,-67.88,0,-89.22033
3.339999,35,343215415562555314420030642202154564154266452012602500110231442622240600354352635531655352260200006243304545224422561433335115145104336423022225602654361102333036543024553040351564325011332464164144265606241115023061660562550320542010233216130,-71.59,0,-103.4166
3.439999,36,343215415562555314420030642202154564154266452012602500110231442622240600354352635531655352260200006243304545224422561433335115145104336423022225602654361102333036543024553040351564325011332464164144265606241115023061660562550320542010233216130,-69.66,0,-95.17355
3.539999,37,343215415562555314420030642202154564154266452012602500110231442622240600354352635531655352260200006243304545224422561433335115145104336423022225602654361102333036543024553040351564325011332464164144265606241115023061660562550320542010233216130,-29.2,0,-65.83029
3.639999,38,343215415562555314420030642202154564154266452012602500110231442622240600354352635531655352260200006243304545224422561433335115145104336423022225602654361102333036543024553040351564325011332464164144265606241115023061660562550320542010233216130,-88.94,0,-129.9544
3.739999,39,343215415562555314420030642202154564154266452012602500110231442622240600354352635531655352260200006243304545224422561433335115145104336423022225602654361102333036543024553040351564325011332464164144265606241115023061660562550320542010233216130,-80.7,0,-115.9208
3.839998,40,343215415562555314420030642202154564154266452012602500110231442622240600354352635531655352260200006243304545224422561433335115145104336423022225602654361102333036543024553040351564325011332464164144265606241115023061660562550320542010233216130,-78.36,0,-104.1362
3.939998,41,343215415562555314420030642202154564154266452012602500110231442622240600354352635531655352260200006243304545224422561433335115145104336423022225602654361102333036543024553040351564325011332464164144265606241115023061660562550320542010233216130,-37.64,0,-87.44904
4.039999,42,343215415562555314420030642202154564154266452012602500110231442622240600354352635531655352260200006243304545224422561433335115145104336423022225602654361102333036543024553040351564325011332464164144265606241115023061660562550320542010233216130,-52.61,0,-105.7523
4.139998,43,343215415562555314420030642202154564154266452012602500110231442622240600354352635531655352260200006243304545224422561433335115145104336423022225602654361102333036543024553040351564325011332464164144265606241115023061660562550320542010233216130,-17.51,0,-58.66613
4.239998,44,343215415562555314420030642202154564154266452012602500110231442622240600354352635531655352260200006243304545224422561433335115145104336423022225602654361102333036543024553040351564325011332464164144265606241115023061660562550320542010233216130,-6.38,0,-39.1222
4.339998,45,561305543516163464222101440340152235636241561656253365252113025110465062031613623212011125303663042355150103201440414405615115145104336423022225602654361102333036543024553040351564325011332464164144265606241115023061660562550320542010233216130,-8.86,0,-79.36343
4.439998,46,343215415562555314420030642202154564154266452012602500110231442622240600354352635531655352260200006243304545224422561433335115145104336423022225602654361102333036543024553040351564325011332464164144265606241115023061660562550320542010233216130,-38.28,0,-74.8403
4.539998,47,343215415562555314420030642202154564154266452012602500110231442622240600354352635531655352260200006243304545224422561433335115145104336423022225602654361102333036543024553040351564325011332464164144265606241115023061660562550320542010233216130,-60.07,0,-97.30829
4.639998,48,343215415562555314420030642202154564154266452012602500110231442622240600354352635531655352260200006243304545224422561433335115145104336423022225602654361102333036543024553040351564325011332464164144265606241115023061660562550320542010233216130,-75.2,0,-100.1191
