ElapsedTime,Epoch,BestDNA,RewardOfBestDNA,CansPickedUpByBest,AvgRewardCurEpoch
0.02,1,-1,-1,0,-1
0.04,2,260345625112046141602641416423404234240153215635150102456602620000165146635032331505416205350442414625226010660415214341153045451441631530623163354142311210550466046211430541243062106325116453351440222315400360530452655056335565535614442026006,0,0,-393.1255
0.14,3,241530456624332253552635351210635021053524052626104241433223361146406461126130402036512125341452430615232542106141303306301656246452634412066000204064141630116250150151453233260104540213235536266615035541256601325143006312065655220530050664536,0,0,-201.1105
0.24,4,226404211203155264403440023203434216426651464132064122464512415544566061366104163311332253433441421106622651351412661155455415244056615326112034453115606263136010003165420234563153255260525124566562043656643036044623046401102341535212043631643,0,0,-177.7207
0.34,5,345233241136104022553015446602513252163125244201363312303430436031050343263240211232560422152661016610460521351011346546411656246452634412066000204064141630116250150151453233260104540213235536266615035541256601325143006312065655220530050664536,0,0,-147.1336
0.44,6,253204426254046530532454522126345064201614262530252143516410200623422404146452516255620246403225204232064350655503626246012433013653056510630563641536043163043610326450456232121433362102045360110120105305211513106625431356055420466153256120406,0.05,0,-97.9138
0.54,7,422026050456552150006066524201560606040051445630524412621253636424415243523563145064026103134145102301230012116001253350456060530455626612416335531351236104251034454302402052215452631040154215606162645544013325250124632200502203460154251165665,0.7,0,-40.3231
0.64,8,226404211203155264403440023203434216426651464132064122464512415544566061366104163311332253433441421106622651351412661155451656246452634412066000204064141630116250150151453233260104540213235536266615035541256601325143006312065655220530050664536,0.6,0,-41.58084
0.7400001,9,226404211203155264403440023203434216426651464132064122464512415544566061366104163311332253433441421106622651351412661155451656246452634412066000204064141630116250150151453233260104540213235536266615035541256601325143006312065655220530050664536,0.5,0,-44.70796
0.8400001,10,354141402510213514512242014604552235661003604150206561252100646526230354361335045145526606511145065336364550115113205463452433013653056510630563641536043163043610326450456232121433362102045360110120105305211513106625431356055420466153256120406,-1.96,0,-68.34422
0.9400001,11,226404211203155264403440023203434216426651464132064122464512415544566061366104163311332253433441421106622651351412661155455450466025623666234610426302505656565365233641414322440145114224462140146613065223313515515363504114623430655306536402614,1.2,0,-42.66769
1.04,12,422026050456552150006066524201560606040051445630524412621253636424415243523563145064026103134145102301230012116001253350455415244056615326112034453115606263136010003165420234563153255260525124566562043656643036044623046401102341535212043631643,0.1,0,-62.48739
1.14,13,420622140263431141226264521521243264134602021554103130434621326262012364615150520642515245202334615024410363252146163400036060530455626612416335531351236104251034454302402052215452631040154215606162645544013325250124632200502203460154251165665,-0.1,0,-36.26455
1.24,14,063156445625033226351455620400242451162424451364100053542542414233201466423513203632003226401525420015344510241363163651161656246452634412066000204064141630116250150151453233260104540213235536266615035541256601325143006312065655220530050664536,0.2,0,-141.8179
1.34,15,422026050456552150006066524201560606040051445630524412621253636424415243523563145064026103134145102301230012116001253350451656246452634412066000204064141630116250150151453233260104540213235536266615035541256601325143006312065655220530050664536,-2.3,0,-85.09159
1.44,16,420622140263431141226264521521243264134602021554103130434621326262012364615150520642515245202334615024410363252146163400031656246452634412066000204064141630116250150151453233260104540213235536266615035541256601325143006312065655220530050664536,-0.5,0,-53.88285
1.54,17,422026050456552150006066524201560606040051445630524412621253636424415243523563145064026103134145102301230012116001253350451656246452634412066000204064141630116250150151453233260104540213235536266615035541256601325143006312065655220530050664536,-7.08,0,-57.30949
1.64,18,422026050456552150006066524201560606040051445630524412621253636424415243523563145064026103134145102301230012116001253350451656246452634412066000204064141630116250150151453233260104540213235536266615035541256601325143006312065655220530050664536,0.05,0,-29.19495
1.74,19,444623661236220402565220415166426040502333403452503135264255122112464366142500446132522126561121443444326246031243236612131656246452634412066000204064141630116250150151453233260104540213235536266615035541256601325143006312065655220530050664536,-6.28,0,-54.80441
1.84,20,420622140263431141226264521521243264134602021554103130434621326262012364615150520642515245202334615024410363252146163400031656246452634412066000204064141630116250150151453233260104540213235536266615035541256601325143006312065655220530050664536,-11.96,0,-49.79129
1.94,21,420622140263431141226264521521243264134602021554103130434621326262012364615150520642515245202334615024410363252146163400031656246452634412066000204064141630116250150151453233260104540213235536266615035541256601325143006312065655220530050664536,-40.54,0,-90.20331
2.04,22,420622140263431141226264521521243264134602021554103130434621326262012364615150520642515245202334615024410363252146163400031656246452634412066000204064141630116250150151453233260104540213235536266615035541256601325143006312065655220530050664536,-48.79,0,-65.62226
2.14,23,420622140263431141226264521521243264134602021554103130434621326262012364615150520642515245202334615024410363252146163400031656246452634412066000204064141630116250150151453233260104540213235536266615035541256601325143006312065655220530050664536,-5.78,1,-60.39934
2.24,24,420622140263431141226264521521243264134602021554103130434621326262012364615150520642515245202334615024410363252146163400031656246452634412066000204064141630116250150151453233260104540213235536266615035541256601325143006312065655220530050664536,-30.68,0,-79.73721
2.34,25,420622140263431141226264521521243264134602021554103130434621326262012364615150520642515245202334615024410363252146163400031656246452634412066000204064141630116250150151453233260104540213235536266615035541256601325143006312065655220530050664536,-44.04,0,-69.44109
2.44,26,420622140263431141226264521521243264134602021554103130434621326262012364615150520642515245202334615024410363252146163400031656246452634412066000204064141630116250150151453233260104540213235536266615035541256601325143006312065655220530050664536,-52.64,1,-87.53243
2.54,27,420622140263431141226264521521243264134602021554103130434621326262012364615150520642515245202334615024410363252146163400031656246452634412066000204064141630116250150151453233260104540213235536266615035541256601325143006312065655220530050664536,-36.49,0,-66.15033
