ElapsedTime,Epoch,BestDNA,RewardOfBestDNA,CansPickedUpByBest,AvgRewardCurEpoch
0.02,1,-1,-1,0,-1
0.04,2,610623115250041126500456403461160345355014346301054213426243040303113450235220641515103601636414610054345250012353623162142206512425605436252313650066431616050353566531212232515125125144124305030430161264103244050114130125124423551420351200026,0.5,0,-405.7936
0.14,3,425554650636264244240062416130540245334616211264522216056520332010362411412504560300451615112335016316633332562252625133611521623543226030251056131013543204261240244100510200045511636236244401526521266550500165545014503302140625052244313441314,0,0,-194.0679
0.24,4,101134145633053234462021301625334050231504024251414314520414305246415056254651212061336062241254262554155340411040150422640005016164663025521006315324423022464222120656556430625651324441226003363545563202053223335432566154166451056600466363563,0,0,-147.7868
0.34,5,655616040640420343061511620212420155415642145420040506362666102053332615333014410123602162316023561654333450134006145153156322414300000022536221324665636146250550202136515142005545442335123002140145133335054020240454010660564530234201652662342,0,0,-133.7863
0.44,6,046210445255226343401010421432460163450532025046616314515222436054253643104520101166465443522014661246021500411253122045412660154562121211055635253045554520166621565605541256156464344341131416223422414634066053104242061635000361022516361063335,0.15,0,-91.69525
0.54,7,652416064143365220124162642564444044024444624320062065535230544615526202556341514455335555423554213513013421153046411011113564364453260635354032466266515242023565645232560263412142523442635134661101252053440644250335605060351016106224510220612,1.45,0,-68.92543
0.64,8,363013126053336215136226054450323164116410066064554541540235226063655042321221662046105045013136015225600636561422445635215262640553222453566661452336030645444312353260121131340430260360040242333545503362265031033006004665512354262545146360143,0.3,0,-95.95992
0.7400001,9,036346244023030102630414121464023026105112636013413005415243552102611516015506112235331613433345644214320244233143353460624556063235462332425433226412423142456312304316236164600565244215552262656452433220564451240203443513025444050361366525034,0.4,0,-46.31115
0.8400001,10,363013126053336215136226054450323164116410066064554541540235226063655042321221662046105045013136015225600636561422445635214556063235462332425433226412423142456312304316236164600565244215552262656452433220564451240203443513025444050361366525034,0.1,0,-44.48265
0.9400001,11,564524556140512621103606663400612211163545104656423315331203242140203134605224633355504161455464550361161555210113442645544556063235462332425433226412423142456312304316236164600565244215552262656452433220564451240203443513025444050361366525034,0,0,-83.06505
1.04,12,652416064143365220124162642564444044024444624320062065535230544615526202556341514455335555423554213513013421153046411011114601602354624026630213341461204040341310323601145522115500456650315100153543552660546566501110256033121200600521020234652,0.1,0,-51.77895
1.14,13,032654153064061545203534351602355060245005055060365400102402112316203144412516624562324536162233516660461454054002556123141521623543226030251056131013543204261240244100510200045511636236244401526521266550500165545014503302140625052244313441314,0,0,-78.95332
1.24,14,564524556140512621103606663400612211163545104656423315331203242140203134605224633355504161455464550361161555210113442645544556063235462332425433226412423142456312304316236164600565244215552262656452433220564451240203443513025444050361366525034,-2.42,0,-68.43274
1.34,15,254644552343430262031256406236465040251050404603244462611511206043065544334244605544136563353342112326311053051640140234424601602354624026630213341461204040341310323601145522115500456650315100153543552660546566501110256033121200600521020234652,-6.64,0,-71.77889
