ElapsedTime,Epoch,BestDNA,RewardOfBestDNA,CansPickedUpByBest,AvgRewardCurEpoch
0.02,1,-1,-1,0,-1
0.04,2,546333052456140341102310366236256412453154132125624406536156400531365353153560142662442131531056152314425314400641256360152116465205042540564404240561430233401651354220563452204544522202214040511560043562451126313511144111545540362053525312200,0,0,-413.3581
0.14,3,554365204366451126461406640351211066404324321652051032350661656600252565451151264351665412104322161433652553221324322413152334034421405626012453133145260435642443520533540152146666254135305506654232453301652514053056126025563120263243435534346,0.05,0,-231.4431
0.24,4,435540533255601235240314020563340236612203523242151041112065000101001304200234041220026521335261225354114640562660445265364614242263553565111635634455245624025454623056122531140144234266531244504425334342253610336500510452364256332033666360321,0.2,0,-185.7021
0.34,5,406220023306201023345545102513405026011332455546620656525411621601234221051443012404464543542051332431056000413133330354050424613525430502010403314330465020133426311552520220566120551134331626465541061052133210220532546664340544545415230506655,0,0,-142.343
0.44,6,144143215260111056300216445232013641225334003341165660420165253503130303300400306013126263132450252244565365424546354204560315312556160012114226430143214044620026344564510455122113446606306114330665542535534351256655012106641604211505510406346,0,0,-141.3889
0.54,7,565410440224525254023136522240365436023514244036122466101035326005225560351335065306053133141103541316550512501366112224164602243635110630313500630515612602244536135656536511361265501462123566330143106446055210062561243433002613211110644406136,0,0,-92.46159
0.64,8,435514004140060503460224262440331505215012042152536024414541132443403423201533014113663361205205256165420130301156344066455460544602331333363024650150446430255633366031151401033145360640240406342646224423315141655140304123443052250305452520256,0,0,-109.9895
0.7400001,9,435514004140060503460224262440331505215012042152536024414541132443403423201533014113663361205205256165420130301156344066454434432255151642251566403562030105354235325464124366345566161440244103114544604442324526323432262046032116400221153165150,0,0,-120.2776
0.8400001,10,510636250124011660152400220310635105226121664662052015326142100240030021042223250434645032562165012452246614301104021152640104332160101011161360135351255306663406110612510424240266634456000225606142245104505304515014456160121052064031633112466,0,0,-110.0325
0.9400001,11,251350410246131515040020306312522220351606502641334450255535053203333155112514644354540305125062200504660443332553642406341602115460056063163604510046313011461226466623240232532250531304044550151555346660433025036254443031651225613252503026552,-2.25,0,-82.58844
1.04,12,131211451522331234362625556024164624541510316051603541345452404064223300520135040525236636213366301436636600651332501632200231220333415312261313142415313550123104112344531654451536043152422642342540511103551350121564202303210644650046021003351,0,0,-80.85865
1.14,13,204654501021310015400514406565345610511336455604236046440651504151561166030236233012254235414044352651254002136464565055025326611602010243411534061304324102020523140053532040340405511203214321000662161543212550446403032024533655104304601543433,0.1,0,-98.24645
1.24,14,310436222302154140363364661234013465563165520440116356265621320112321234526166245505150122662116124055562165111066556301031602115460056063163604510046313011461226466623240232532250531304044550151555346660433025036254443031651225613252503026552,-0.75,0,-89.71889
1.34,15,322316523450646515362146453462034244333656244304013646464332050251561232406654035335636054344344140531454660424615204101531602115460056063163604510046313011461226466623240232532250531304044550151555346660433025036254443031651225613252503026552,-6.26,0,-67.33375
1.44,16,322316523450646515362146453462034244333656244304013646464332050251561232406654035335636054344344140531454660424615204101531602115460056063163604510046313011461226466623240232532250531304044550151555346660433025036254443031651225613252503026552,-3.82,0,-76.21576
