ElapsedTime,Epoch,BestDNA,RewardOfBestDNA,CansPickedUpByBest,AvgRewardCurEpoch
0.02,1,-1,-1,0,-1
0.04,2,160201462210223265303334015505534444622463013121432630004256400520511512150204154412321641115021220621303426112564643403606566153512115105013143033215403031615413261444464104420136221025444433543644414630440010116314342340231415540452400210613,0,0,-436.9275
0.14,3,603503253441241346134123604243040260212111025411436500544131334615123132112566101414432230066560141303622146015230423160262254505310240205030426156254200410212036450225436131666624615622510523656666563400645512256201025054526305541310066035620,0.2,0,-195.1526
0.24,4,021016055436634143360451033261126660061100601005331523064001620634262401062633113430323140645353352214334210312125053133526566153512115105013143033215403031615413261444464104420136221025444433543644414630440010116314342340231415540452400210613,0.05,0,-179.6028
0.34,5,660003224124650541604422626313113105564605026105043402161235442004110360026502662663502205352404654313061633613453303224323605435606161615251253666452030066505341115632433102322646050431335164002445241534561643402331355622164562313454143005216,0,0,-201.4156
0.44,6,062066160005134421336141624452256602435026251644462630552313403122203622132023541532010503011532003364662302252251302160654450522623004225045605650222313002366112332146221310350415246066160665014266424011415255116113323216403340334014026021434,0,0,-141.6751
0.54,7,021016055436634143360451033261126660061100601005331523064001620634262401062633113430323140645353352214334210312125053133524453355532351242632125610010266554145101150442165464611631020131161111345136565112246540440410510231263124005264630242444,0.15,0,-96.8706
0.64,8,222004416166620401364532445360344235620002514322503642652645410024353366423256166530013005504010526435662265304032143220004040662034614332621516222540023001121221364506421450601163444121452126201430631164662144664150434326546346054210254624043,0,0,-100.9629
0.7400001,9,361204124154304246004242665565016402646003411445052444211251614212232255005450644023645102314412066425323341633020344034644602413223114346560530451316323163544404242131661440125445141231641441504102121641513216600533225350313102221622620200445,-8.76,0,-113.6617
0.8400001,10,452045455124011052543642340524450034541551664523123343212410223062446534115401664340103143501503223233163435242115230063124450522623004225045605650222313002366112332146221310350415246066160665014266424011415255116113323216403340334014026021434,0,0,-86.26019
0.9400001,11,666444226652001645502626663102564465101645230333461103552454454260236326312041566014100110034322641060342223540016522333314602413223114346560530451316323163544404242131661440125445141231641441504102121641513216600533225350313102221622620200445,-16.44,0,-107.3113
1.04,12,410154413444015361125062321254336461435246064524151204654531044562522410611166232265163425645210200352153616644024563215154602413223114346560530451316323163544404242131661440125445141231641441504102121641513216600533225350313102221622620200445,-12.11,0,-103.4574
1.14,13,333641614410550560546126115353156516234652011365514421526644352022152206102415033460545403464034414010665132053303463613124450522623004225045605650222313002366112332146221310350415246066160665014266424011415255116113323216403340334014026021434,-21.83,0,-83.49881
1.24,14,421014002115663005162502040263613243546616413003156151666363134562625265546343040245655532554202044660321652505023050634234450522623004225045605650222313002366112332146221310350415246066160665014266424011415255116113323216403340334014026021434,0,0,-94.77888
1.34,15,452045455124011052543642340524450034541551664523123343212410223062446534115401664340103143501503223233163435242115230063124602413223114346560530451316323163544404242131661440125445141231641441504102121641513216600533225350313102221622620200445,-20.53,0,-96.00035
1.44,16,154103230115461014641511615110113213403414114204446446355130546406046016506500454061422504533204626453114633436012410225054602413223114346560530451316323163544404242131661440125445141231641441504102121641513216600533225350313102221622620200445,-14.91,0,-71.45043
1.54,17,666444226652001645502626663102564465101645230333461103552454454260236326312041566014100110034322641060342223540016522333311603433342665052056212564564151663602240343312445102245645502400125366303643433666135662242504025531030013116413653366662,-33.18,0,-92.56466
1.64,18,613661656266546525111155221651461256463155650363341236335264313654255223252354506143452156225602066456403330135165204205364450522623004225045605650222313002366112332146221310350415246066160665014266424011415255116113323216403340334014026021434,0,0,-51.65039
1.74,19,613661656266546525111155221651461256463155650363341236335264313654255223252354506143452156225602066456403330135165204205364602413223114346560530451316323163544404242131661440125445141231641441504102121641513216600533225350313102221622620200445,-20.67,0,-73.64999
1.84,20,666444226652001645502626663102564465101645230333461103552454454260236326312041566014100110034322641060342223540016522333314602413223114346560530451316323163544404242131661440125445141231641441504102121641513216600533225350313102221622620200445,-12.48,0,-73.20982
1.94,21,421014002115663005162502040263613243546616413003156151666363134562625265546343040245655532554202044660321652505023050634234450522623004225045605650222313002366112332146221310350415246066160665014266424011415255116113323216403340334014026021434,-33.75,0,-160.7315
2.04,22,666444226652001645502626663102564465101645230333461103552454454260236326312041566014100110034322641060342223540016522333314602413223114346560530451316323163544404242131661440125445141231641441504102121641513216600533225350313102221622620200445,-44.97,0,-83.915
2.14,23,613661656266546525111155221651461256463155650363341236335264313654255223252354506143452156225602066456403330135165204205364450522623004225045605650222313002366112332146221310350415246066160665014266424011415255116113323216403340334014026021434,-47.98,0,-127.3504
2.24,24,222434500014564503252260632411313565452361462046456666404651230054434322641404223041304403424643363420635534430365000205016166153053261306316430632033352414116231531656440413152512625445465613504025150644251012022166232536126102322655344336350,-78.28,0,-124.1212
2.34,25,666444226652001645502626663102564465101645230333461103552454454260236326312041566014100110034322641060342223540016522333314602413223114346560530451316323163544404242131661440125445141231641441504102121641513216600533225350313102221622620200445,-39.75,0,-67.62398
2.44,26,666444226652001645502626663102564465101645230333461103552454454260236326312041566014100110034322641060342223540016522333314602413223114346560530451316323163544404242131661440125445141231641441504102121641513216600533225350313102221622620200445,-26.56,0,-77.87612
2.54,27,421014002115663005162502040263613243546616413003156151666363134562625265546343040245655532554202044660321652505023050634234602413223114346560530451316323163544404242131661440125445141231641441504102121641513216600533225350313102221622620200445,-45.19,0,-193.2953
2.64,28,666444226652001645502626663102564465101645230333461103552454454260236326312041566014100110034322641060342223540016522333314602413223114346560530451316323163544404242131661440125445141231641441504102121641513216600533225350313102221622620200445,-152.04,0,-188.6374
2.74,29,421014002115663005162502040263613243546616413003156151666363134562625265546343040245655532554202044660321652505023050634234602413223114346560530451316323163544404242131661440125445141231641441504102121641513216600533225350313102221622620200445,-141.03,0,-159.4881
2.839999,30,421014002115663005162502040263613243546616413003156151666363134562625265546343040245655532554202044660321652505023050634230003120036650266411002152432423232551552203131123323446225054122546343110144261564535450122546544321322466235431616455444,-78.54,0,-186.6886
2.939999,31,421014002115663005162502040263613243546616413003156151666363134562625265546343040245655532554202044660321652505023050634234602413223114346560530451316323163544404242131661440125445141231641441504102121641513216600533225350313102221622620200445,-129.18,0,-160.492
3.039999,32,421014002115663005162502040263613243546616413003156151666363134562625265546343040245655532554202044660321652505023050634234602413223114346560530451316323163544404242131661440125445141231641441504102121641513216600533225350313102221622620200445,-99.26,0,-150.7509
3.139999,33,421014002115663005162502040263613243546616413003156151666363134562625265546343040245655532554202044660321652505023050634234602413223114346560530451316323163544404242131661440125445141231641441504102121641513216600533225350313102221622620200445,-47.88,0,-155.0418
3.239999,34,421014002115663005162502040263613243546616413003156151666363134562625265546343040245655532554202044660321652505023050634234602413223114346560530451316323163544404242131661440125445141231641441504102121641513216600533225350313102221622620200445,-34.58,0,-98.15738
3.339999,35,421014002115663005162502040263613243546616413003156151666363134562625265546343040245655532554202044660321652505023050634236541554320310526360264056141256224511446236326620245120523251614351414465140436644514422140345136050442614265562421605460,-119.74,0,-153.7831
3.439999,36,421014002115663005162502040263613243546616413003156151666363134562625265546343040245655532554202044660321652505023050634236541554320310526360264056141256224511446236326620245120523251614351414465140436644514422140345136050442614265562421605460,-85.54,0,-124.7832
3.539999,37,421014002115663005162502040263613243546616413003156151666363134562625265546343040245655532554202044660321652505023050634234602413223114346560530451316323163544404242131661440125445141231641441504102121641513216600533225350313102221622620200445,-28.55,0,-165.6782
3.639999,38,421014002115663005162502040263613243546616413003156151666363134562625265546343040245655532554202044660321652505023050634234602413223114346560530451316323163544404242131661440125445141231641441504102121641513216600533225350313102221622620200445,-85.75,0,-108.6609
3.739999,39,421014002115663005162502040263613243546616413003156151666363134562625265546343040245655532554202044660321652505023050634234602413223114346560530451316323163544404242131661440125445141231641441504102121641513216600533225350313102221622620200445,-68.51,0,-140.1819
3.839998,40,512542506155055430400532122266005464443304103446540106120253101126411352505562205622356400452036010551623312610525466206541556212123353063220063423460415400256644643353454436524526566320113333051214511111542443414035314513644644543225021335162,-78,0,-155.6309
3.939998,41,421014002115663005162502040263613243546616413003156151666363134562625265546343040245655532554202044660321652505023050634234602413223114346560530451316323163544404242131661440125445141231641441504102121641513216600533225350313102221622620200445,-80.03,0,-112.9926
4.039999,42,421014002115663005162502040263613243546616413003156151666363134562625265546343040245655532554202044660321652505023050634234602413223114346560530451316323163544404242131661440125445141231641441504102121641513216600533225350313102221622620200445,-124.68,0,-194.0802
