ElapsedTime,Epoch,BestDNA,RewardOfBestDNA,AvgRewardCurEpoch
0.02,1,,-1,-349.6208
0.04,2,105655346070201462664162611774327465043520562176607671301005772032237546471301150036162417621726526452257313721556615203062651206056153732071210465644241161722241114037774114313541271470064213712146345151562472516102637342214216327405244314031,-30.85,-248.0585
0.14,3,605260271762775403063431435635457060076641744051024535043766214645072734742714405146515753263656115100741705046367752436770136777464223106416750210264636746517656752552767216340457510261700223427164436312765264432432605336646517204161460474704,-8.85,-181.8069
0.24,4,133447003536063143607272200140740455205124455640572005114401725354634616462262373017353765354126310257267331705665466063310136777464223106416750210264636746517656752552767216340457510261700223427164436312765264432432605336646517204161460474704,2.4,-142.4661
0.34,5,661217007327441547115530451047413726210561173623575647072612134325326675146751553216775276325732157036252264511207616417200136777464223106416750210264636746517656752552767216340457510261700223427164436312765264432432605336646517204161460474704,3.55,-98.17149
0.44,6,605260271762775403063431435635457060076641744051024535043766214645072734742714405146515753263656115100741705046367752436770136777464223106416750210264636746517656752552767216340457510261700223427164436312765264432432605336646517204161460474704,4.15,-69.21831
0.54,7,661217007327441547115530451047413726210561173623575647072612134325326675146751553216775276325732157036252264511207616417200136777464223106416750210264636746517656752552767216340457510261700223427164436312765264432432605336646517204161460474704,3,-52.00331
0.64,8,661217007327441547115530451047413726210561173623575647072612134325326675146751553216775276325732157036252264511207616417200136777464223106416750210264636746517656752552767216340457510261700223427164436312765264432432605336646517204161460474704,3.8,-37.73854
0.7400001,9,661217007327441547115530451047413726210561173623575647072612134325326675146751553216775276325732157036252264511207616417200136777464223106416750210264636746517656752552767216340457510261700223427164436312765264432432605336646517204161460474704,2.34,-17.68169
0.8400001,10,605260271762775403063431435635457060076641744051024535043766214645072734742714405146515753263656115100741705046367752436770136777464223106416750210264636746517656752552767216340457510261700223427164436312765264432432605336646517204161460474704,4.75,-18.47845
0.9400001,11,605260271762775403063431435635457060076641744051024535043766214645072734742714405146515753263656115100741705046367752436770136777464223106416750210264636746517656752552767216340457510261700223427164436312765264432432605336646517204161460474704,4.55,-8.82475
1.04,12,661217007327441547115530451047413726210561173623575647072612134325326675146751553216775276325732157036252264511207616417200136777464223106416750210264636746517656752552767216340457510261700223427164436312765264432432605336646517204161460474704,3.75,-12.2204
1.14,13,661217007327441547115530451047413726210561173623575647072612134325326675146751553216775276325732157036252264511207616417200136777464223106416750210264636746517656752552767216340457510261700223427164436312765264432432605336646517204161460474704,4,-3.8261
1.24,14,605260271762775403063431435635457060076641744051024535043766214645072734742714405146515753263656115100741705046367752436770136777464223106416750210264636746517656752552767216340457510261700223427164436312765264432432605336646517204161460474704,3.85,-11.82124
1.34,15,661217007327441547115530451047413726210561173623575647072612134325326675146751553216775276325732157036252264511207616417200136777464223106416750210264636746517656752552767216340457510261700223427164436312765264432432605336646517204161460474704,4.55,-12.55795
1.44,16,661217007327441547115530451047413726210561173623575647072612134325326675146751553216775276325732157036252264511207616417200136777464223106416750210264636746517656752552767216340457510261700223427164436312765264432432605336646517204161460474704,3.75,-9.62815
1.54,17,605260271762775403063431435635457060076641744051024535043766214645072734742714405146515753263656115100741705046367752436770136777464223106416750210264636746517656752552767216340457510261700223427164436312765264432432605336646517204161460474704,4.75,-17.2548
1.64,18,605260271762775403063431435635457060076641744051024535043766214645072734742714405146515753263656115100741705046367752436770136777464223106416750210264636746517656752552767216340457510261700223427164436312765264432432605336646517204161460474704,4.45,-10.06015
1.74,19,661217007327441547115530451047413726210561173623575647072612134325326675146751553216775276325732157036252264511207616417200136777464223106416750210264636746517656752552767216340457510261700223427164436312765264432432605336646517204161460474704,3.8,-10.5605
1.84,20,661217007327441547115530451047413726210561173623575647072612134325326675146751553216775276325732157036252264511207616417200136777464223106416750210264636746517656752552767216340457510261700223427164436312765264432432605336646517204161460474704,3.95,-9.744448
1.94,21,605260271762775403063431435635457060076641744051024535043766214645072734742714405146515753263656115100741705046367752436770136777464223106416750210264636746517656752552767216340457510261700223427164436312765264432432605336646517204161460474704,4.45,-12.41025
2.04,22,661217007327441547115530451047413726210561173623575647072612134325326675146751553216775276325732157036252264511207616417200136777464223106416750210264636746517656752552767216340457510261700223427164436312765264432432605336646517204161460474704,4,-11.40655
2.14,23,661217007327441547115530451047413726210561173623575647072612134325326675146751553216775276325732157036252264511207616417200136777464223106416750210264636746517656752552767216340457510261700223427164436312765264432432605336646517204161460474704,3.6,-5.2419
2.24,24,661217007327441547115530451047413726210561173623575647072612134325326675146751553216775276325732157036252264511207616417200136777464223106416750210264636746517656752552767216340457510261700223427164436312765264432432605336646517204161460474704,4.15,-13.35995
2.34,25,661217007327441547115530451047413726210561173623575647072612134325326675146751553216775276325732157036252264511207616417200136777464223106416750210264636746517656752552767216340457510261700223427164436312765264432432605336646517204161460474704,3.9,-12.54015
