ElapsedTime,Epoch,BestDNA,RewardOfBestDNA,AvgRewardCurEpoch
0.02,1,,-1,-385.5757
0.04,2,415312717074713143647353276461315156264775152005371144021016203663456441156570006766776013173677733475164616773075523567763253350234730532043314353403237706365744245374610347131513761530207522344576164451521077445143321327622251156647772042107,-15.85,-363.6697
0.14,3,620501242256117265207270777302033600406056175115701573473021015600071160454744426154735713226347067031747301274722542041371276655473311275364214176355121327405306141117551230362254104241254462433156157212573063200274435753675701662171003254230,-1.8,-380.3007
0.24,4,067137276570506322271253226656003377771156013325575374575501334022176560166421601346141306201175602521763175650075712475123524714156074557533617340104450743231342651532226743105471513451666337573777260304156501113205722043335231307574622563335,-12.6,-359.0955
0.34,5,560064245616403407455073027401105224757756421252556570515623573416534002100541521620504373651746710544562312457722365722745064622316126542057760531677632362462553764271467223464426361215667264015264276520255312103343461760277555050421700125016,-18.12,-367.3543
0.44,6,006113142737375513620260452240050470436364067450121105111130013113060552002221710622435227233577742770256001622055212064455244020336432302702502177351341645677161603122173441450514754076203561303573731653555164721617724324146075614523432424000,-11.84,-370.793
0.54,7,715772270102343160320520676067303704411610177573037031032701764154730044115350645520631434011525775532304656271634250502431721234057411544122074353146206574055125445217677137213112131175627123205513277614455511776112452722122465337447073025773,-49.77,-398.7284
0.64,8,247767611102153760446571573417461163060462257474145727326502214745422340126602602174005476126627424256227524570021463342510066624210364325261044330100731141014172563600262570661750406263353341234124153142511447313417726103721372045014546160663,-15.31,-361.5121
0.7400001,9,165655437262535521615751407707720262725666036434602634132172552140602523665220353677406402027651645506336476720766073262074233017630177370077762036004500437746276020463577252016753341353004563065774330472277446405270214043202612551636507433767,-19.35,-388.7087
0.8400001,10,641352254165001067066673533407710537662605725676157466440425400051264141027011712626503446726721570113003214220202071160407444166021020675126020623137307002775027057244512171732767371225271665435750256635565401346121313577042150277211322315121,-13.57,-349.3992
0.9400001,11,276523373365510515270672764313360640720740006250076723171114172624416306523000626226034737507756206326450141104670754151412544321253032674373020627704441051622025602306551272541562602016052173746150533733770553211377453552715016277254427030154,0.05,-396.2982
1.04,12,630763352342274725615177642305305146716000564254404167252563077671457737027536254271500173023713370431537467646272016514062661500171650374135776220713772314474647530520571231171212205440335367451167156513775602762275462570444067326265410657453,-49.51,-365.4294
1.14,13,503727661137665222352555367046614646155270470265721443165403744254021543674100657453562010005456767617427645613053520011553672707532215470124503412343170134555025503341565177225754777453163026462752665327555356323243736600111621266433133415045,1.8,-347.7433
1.24,14,420126560525730664331663774702505325004643475251575406452141776507713221120047051373424042532671651154743030633354547677606300160720377001174622775403237552736715200132722512266473415023133463706212514144565043006760273165363216212244015634514,-26.09,-368.7496
1.34,15,616705240510301746631631416632446233464445635175257363335170731704051674753622421127045745511363731651104654752133243251512546613536326454462644131036761475623463674210160451257454561652540611564712751126155205575450744355713547321030661035102,-96.31,-375.9944
1.44,16,176145002120437467653665710204175570371172065350477621007660060103210137156574637002361014246507560051416154153334103621417542456336035061374430055414055150644474701744157440617563550466471765442752477276772272020155350041015446550137554250223,0.85,-379.8347
1.54,17,303324027701551702535552743446560057775153065621467767643451600571123010736604657533777257466600015217440314450027115264174665261032040172240404543220134276774726610337445542126777034351750522726116412157115327445421774626662570341764506605335,-32.24,-357.3205
1.64,18,012470652457222756403172014601543026260147403043241226165576012567224442620412661065337374041052476713504204322066757140513506002714505321657366366020756026243257071633455153620461200477152270753576464461573000066554703221651116135250512413523,-4.87,-358.1859
1.74,19,056156276553652704225726021072272534504670757754225576026636257025445713074317671305340004233653501012165070342056267705252723052276271066643710132562030456223021475012574212736566716000350351411576567555451457416411651521305050632452341221621,-18.9,-384.4106
1.84,20,027501713506403560205235375556735421330753203370751205404743545420231556047761042054620373130110756736063430764154274353016367256466434404001461720150111726520604552777764025555554712364461650633774044720176606216224720250747600346546535134611,-0.66,-384.7802
1.94,21,173024265042731754554344674620125750514433203272077247667457113274235566146531110400566415003152376747011416455310042744317200677503442531431573013067045507125142110342167314315162165261356530540214430662156736665457176642303075275725507176567,-0.67,-384.7101
2.04,22,574765273727070165115023271211501670001776524027437607050735277565641603501157271352551104401436157657407416035173174265430421662077042116112443464435330501207276373022610366523177565713554032204113716702173426352014230570177574007374666677653,-46.69,-354.6541
2.14,23,254636244241752717623664624161716762515253043614337021733043023611705315753532633761552646041722007777402100760506373165422261700124301234774355622160466765650042732543751716173474124554105610734427032151252761602330206565044516624424111542554,-13.95,-362.6673
2.24,24,163465513506616075444367743301260271127146165155506075520056225537213452001316611600226256500260617061773154660144220062505416721505010210627200307137325666663336420127753323414751010337310624615245122253725715121140050430277551400063431575317,-21.08,-361.338
2.34,25,525533400256226142705721446412152652517104512736657521055235666566701022462645763337037562007362170705300207764041213435204077726370256731774135540775710373015422527276710572566775554177016267710213273325522560462242122362112056336133644200343,-2.34,-375.2898
2.44,26,300600106506521032662630474631636213513047726002354347266770041473170012074477772251421365043756030666501022200614162274115204337736761721666650102052711441551660150544757554163162572627001016274727150473560127605471222073155372243500534175246,-19.33,-374.2211
2.54,27,726670477174643561076147234607216073005044157164465504676431651412107077523147101631530366622517262621125125662260064263771024056456254556471632153600120763720106056341722401735526164055424520167526575570162163531403134744207432450051151060613,-4.15,-336.1701
2.64,28,471423010716046264600131113255200446540540714265544732557532110276041654267534532413147105117436233344622047572361232507146516754152556225272172433612012512410745771640270522445773511377561336472576713325671317422602551766007516024222333666454,-18,-364.1577
2.74,29,140560407256126115565436317630431012536634656712067537720217402116732627020263653262172156047345202434120323726123220641311066460273312103317234131450343740265115225177756366364160111131111634567126075150420116557076332243321614074023671723051,-25.07,-343.9285
2.839999,30,504057270743176102023412753260063637436521261427166356030103415363537713253317057576103306417662560677572646346517526356356211742522425056244733570535762275177757020662752653055524031510676224243551133574752542603040260615706714710373026717257,-13.91,-366.7147
2.939999,31,162407353054353320734504041633667075736522163306565111602676034557627510710100464620136350240205220062575073172147325122163726017060552254114261731556043323460771510325267217606771343115335721542521712247714477345514607601272125635263620614355,-15.52,-360.3425
3.039999,32,632242723051467477215363241373305261464610474462376030770412203272501323764003345461662174005032151616041333517003353570417405775000620153706750631560164325627315362455567156251766736126375775016555436030117572527165352115364231103051715741053,-1.16,-349.6271
3.139999,33,623030764137325307522670154555713471013600714167302626762672034235256736642540656432021562464215724261317755564357256545101064400066265516564573153701362710705642111715512564625251533556310012631150503633747144314650776641700670053127714325472,-21.75,-360.9585
