ElapsedTime,Epoch,BestDNA,RewardOfBestDNA,AvgRewardCurEpoch
0.02,1,,-1,-362.9814
0.04,2,424001052364526003037657266353122170024502774464142326422116643422372655242770044463146405263172321704262225037474756140145222265055777030256511346135343417351152716157470217070227304427542473636152425355545711623310061301733376567563735324502,-19.95,-259.7552
0.14,3,125767150417064415427343641776525724710735263203261267676301677267101337724362363747123556276044406067664105721527526637515222265055777030256511346135343417351152716157470217070227304427542473636152425355545711623310061301733376567563735324502,-4.05,-192.3618
0.24,4,064132246524044155517357522677016150673345403540716777247317601347706020707141155762740746325426046636123303120142265734351163460662036424024414572063335107112144214570162360031440154105354775555256510634467354036736150344555367107122077340474,-7.92,-144.6937
0.34,5,125767150417064415427343641776525724710735263203261267676301677267101337724362363747123556276044406067664105721527526637511163460662036424024414572063335107112144214570162360031440154105354775555256510634467354036736150344555367107122077340474,-3.94,-98.4389
0.44,6,125767150417064415427343641776525724710735263203261267676301677267101337724362363747123556276044406067664105721527526637511163460662036424024414572063335107112144214570162360031440154105354775555256510634467354036736150344555367107122077340474,-6.28,-66.02119
0.54,7,125767150417064415427343641776525724710735263203261267676301677267101337724362363747123556276044406067664105721527526637511163460662036424024414572063335107112144214570162360031440154105354775555256510634467354036736150344555367107122077340474,2.7,-46.41098
0.64,8,355467120727570015761711616150451763363002573353257261526474652605341160542354134261200405105157513532563765730173365112776361661175315550161635525211507465702714730376162761306555767010047401723524704453552425043043351362612143517011247762316,1.6,-36.088
0.7400001,9,125767150417064415427343641776525724710735263203261267676301677267101337724362363747123556276044406067664105721527526637516361661175315550161635525211507465702714730376162761306555767010047401723524704453552425043043351362612143517011247762316,2,-17.72444
0.8400001,10,355467120727570015761711616150451763363002573353257261526474652605341160542354134261200405105157513532563765730173365112776361661175315550161635525211507465702714730376162761306555767010047401723524704453552425043043351362612143517011247762316,1.8,-17.943
0.9400001,11,125767150417064415427343641776525724710735263203261267676301677267101337724362363747123556276044406067664105721527526637516361661175315550161635525211507465702714730376162761306555767010047401723524704453552425043043351362612143517011247762316,1.75,-9.38975
1.04,12,125767150417064415427343641776525724710735263203261267676301677267101337724362363747123556276044406067664105721527526637511163460662036424024414572063335107112144214570162360031440154105354775555256510634467354036736150344555367107122077340474,2.4,-7.480898
1.14,13,125767150417064415427343641776525724710735263203261267676301677267101337724362363747123556276044406067664105721527526637516361661175315550161635525211507465702714730376162761306555767010047401723524704453552425043043351362612143517011247762316,1.5,-4.356999
1.24,14,125767150417064415427343641776525724710735263203261267676301677267101337724362363747123556276044406067664105721527526637511163460662036424024414572063335107112144214570162360031440154105354775555256510634467354036736150344555367107122077340474,1.85,-10.0716
1.34,15,125767150417064415427343641776525724710735263203261267676301677267101337724362363747123556276044406067664105721527526637511163460662036424024414572063335107112144214570162360031440154105354775555256510634467354036736150344555367107122077340474,1.95,-5.8958
1.44,16,125767150417064415427343641776525724710735263203261267676301677267101337724362363747123556276044406067664105721527526637511163460662036424024414572063335107112144214570162360031440154105354775555256510634467354036736150344555367107122077340474,2.15,-7.561899
1.54,17,125767150417064415427343641776525724710735263203261267676301677267101337724362363747123556276044406067664105721527526637511163460662036424024414572063335107112144214570162360031440154105354775555256510634467354036736150344555367107122077340474,1.75,-8.076448
1.64,18,125767150417064415427343641776525724710735263203261267676301677267101337724362363747123556276044406067664105721527526637511163460662036424024414572063335107112144214570162360031440154105354775555256510634467354036736150344555367107122077340474,2.15,-7.990202
1.74,19,125767150417064415427343641776525724710735263203261267676301677267101337724362363747123556276044406067664105721527526637511163460662036424024414572063335107112144214570162360031440154105354775555256510634467354036736150344555367107122077340474,1.85,-8.529697
1.84,20,125767150417064415427343641776525724710735263203261267676301677267101337724362363747123556276044406067664105721527526637511163460662036424024414572063335107112144214570162360031440154105354775555256510634467354036736150344555367107122077340474,1.9,-3.253249
1.94,21,125767150417064415427343641776525724710735263203261267676301677267101337724362363747123556276044406067664105721527526637511163460662036424024414572063335107112144214570162360031440154105354775555256510634467354036736150344555367107122077340474,2,-5.143052
2.04,22,125767150417064415427343641776525724710735263203261267676301677267101337724362363747123556276044406067664105721527526637511163460662036424024414572063335107112144214570162360031440154105354775555256510634467354036736150344555367107122077340474,2.1,-14.64695
