ElapsedTime,Epoch,BestDNA,RewardOfBestDNA,AvgRewardCurEpoch
0.02,1,,-1,-349.7242
0.04,2,070700711532110312113435523646545126523174520744305463177637243307111253142267657422006044602703116235524247272431467100012724176401071727307150352250221645414731611304753037222611320333602210737754527111715544406674154420056440165472140444622,-47.98,-259.6741
0.14,3,163364640105103720753513750331145611575204446747502121007314106451723173333620301122653777532624171142725242146253542604642724176401071727307150352250221645414731611304753037222611320333602210737754527111715544406674154420056440165472140444622,-32.06,-190.8947
0.24,4,115337061261526464545300024177064377263104605133333470424613432004532033515033464643617556323604560054264223137233216613145627254704162334450060126577352215340747725361525435474512354602712464463164770041155260041653663412622045725553320070730,-8.21,-154.0126
0.34,5,753512215172061747151640067476203102446345407445706414324132671614373006524744743234441050206235450075162100502402107342412235476415642667720546153507044674370512657615416567541172300667200230513552465337151057127054676651660051144043202253162,-7.81,-111.5961
0.44,6,076644413362723742777466273375354566512420251411132137673173567267361653266217127157755017253345451620467730132476750464322235476415642667720546153507044674370512657615416567541172300667200230513552465337151057127054676651660051144043202253162,-6.34,-92.04854
0.54,7,076644413362723742777466273375354566512420251411132137673173567267361653266217127157755017253345451620467730132476750464322235476415642667720546153507044674370512657615416567541172300667200230513552465337151057127054676651660051144043202253162,-3.97,-68.8492
0.64,8,076644413362723742777466273375354566512420251411132137673173567267361653266217127157755017253345451620467730132476750464322235476415642667720546153507044674370512657615416567541172300667200230513552465337151057127054676651660051144043202253162,0.75,-53.80714
0.7400001,9,076644413362723742777466273375354566512420251411132137673173567267361653266217127157755017253345451620467730132476750464322235476415642667720546153507044674370512657615416567541172300667200230513552465337151057127054676651660051144043202253162,-0.2,-41.27531
0.8400001,10,076644413362723742777466273375354566512420251411132137673173567267361653266217127157755017253345451620467730132476750464322235476415642667720546153507044674370512657615416567541172300667200230513552465337151057127054676651660051144043202253162,0.15,-27.56275
0.9400001,11,076644413362723742777466273375354566512420251411132137673173567267361653266217127157755017253345451620467730132476750464322235476415642667720546153507044674370512657615416567541172300667200230513552465337151057127054676651660051144043202253162,-0.2,-34.48281
1.04,12,076644413362723742777466273375354566512420251411132137673173567267361653266217127157755017253345451620467730132476750464322235476415642667720546153507044674370512657615416567541172300667200230513552465337151057127054676651660051144043202253162,0.65,-21.0214
1.14,13,076644413362723742777466273375354566512420251411132137673173567267361653266217127157755017253345451620467730132476750464322235476415642667720546153507044674370512657615416567541172300667200230513552465337151057127054676651660051144043202253162,0.7,-20.5404
1.24,14,076644413362723742777466273375354566512420251411132137673173567267361653266217127157755017253345451620467730132476750464322235476415642667720546153507044674370512657615416567541172300667200230513552465337151057127054676651660051144043202253162,0.35,-26.34224
1.34,15,076644413362723742777466273375354566512420251411132137673173567267361653266217127157755017253345451620467730132476750464322235476415642667720546153507044674370512657615416567541172300667200230513552465337151057127054676651660051144043202253162,0.6,-23.31154
1.44,16,076644413362723742777466273375354566512420251411132137673173567267361653266217127157755017253345451620467730132476750464322235476415642667720546153507044674370512657615416567541172300667200230513552465337151057127054676651660051144043202253162,0.95,-14.9704
1.54,17,076644413362723742777466273375354566512420251411132137673173567267361653266217127157755017253345451620467730132476750464322235476415642667720546153507044674370512657615416567541172300667200230513552465337151057127054676651660051144043202253162,0.45,-16.61445
1.64,18,076644413362723742777466273375354566512420251411132137673173567267361653266217127157755017253345451620467730132476750464322235476415642667720546153507044674370512657615416567541172300667200230513552465337151057127054676651660051144043202253162,0.7,-26.84616
