ElapsedTime,Epoch,BestDNA,RewardOfBestDNA,CansPickedUpByBest,AvgRewardCurEpoch
0.02,1,-1,-1,0,-1
0.04,2,346321455250601126455104611440143106466130220321253233446102551523415221664636054533515415361503515500563612644006022542220266451356265262141020253655051652303021465030134442550423534524641235660033041162620642524144103402516366235240420534332,1.5,0,-362.0975
0.14,3,060642412462000034304162062540460402456632640512366412656613564635403356206256035062523544566231345525656531345305161055515162334426461602552063321316312541536530320266421452543204565240356251204254221360613151343562635313326005344606546406255,1.7,1,-143.7922
0.24,4,235606153210644052415000405313432450025534025335132522361645115153025420635604264000242024345602136046001546416551033602306120026016453504103222040624430444662240253456441320266605360513561235422103210303010061035566403302451242044605321660550,0.25,0,-75.26209
0.34,5,011364031235662466142160500614455224463161016324330301535622130513446662104220423666451534640644351643411214140001655165330202141253615126313514510503561051524402453031132140062206600603541240106005056543613533003123366556605655620155163634215,0.2,0,-85.91951
0.44,6,346321455250601126455104611440143106466130220321253233446102551523415221664636054533515415361503515500563612644006022542220323056426043662441425133255503525163541221436153404166113336111501564213340414161056523250246223313440330502614202202441,2.3,0,-71.5059
0.54,7,023315166300250221130604665460530062016235013333212001200535553551143053626124636243411221230233530023450213015634514024366120026016453504103222040624430444662240253456441320266605360513561235422103210303010061035566403302451242044605321660550,0.1,0,-36.87128
0.64,8,422664445134564654351252610521222212456604265566551142610066106244445204245024201015222635656016211011441516453604306130304611632224114103021035036656061614316136413330204213332250054014546350616221514040514146224133224311443133161046101222334,0.2,0,-39.32125
0.7400001,9,154202250465605223604064045621004256214306401205052026641442230103246635600502661024604152412636324045404023530323245412105014336434404104625334504165426210301211441650222213036255452661531136512425110105425061336511102144521136243440162023143,0.3,0,-17.85463
0.8400001,10,235606153210644052415000405313432450025534025335132522361645115153025420635604264000242024345602136046001546416551033602306063145243233336466503244330321036306646163301452165650154254101150256300146166323450011325633556104005146530432140663161,0.8,1,-34.9454
0.9400001,11,346321455250601126455104611440143106466130220321253233446102551523415221664636054533515415361503515500563612644006022542226063145243233336466503244330321036306646163301452165650154254101150256300146166323450011325633556104005146530432140663161,0.6,0,-29.98908
1.04,12,216413064136441461661550004261661214425402611340106320566422203013522113351666624043201414116055156256125564300364510416610616602035150405056465162433402544434543031613456351445446026124251501342612413125446246050354244363130235611440316500606,0.1,0,-11.15826
1.14,13,235606153210644052415000405313432450025534025335132522361645115153025420635604264000242024345602136046001546416551033602306063145243233336466503244330321036306646163301452165650154254101150256300146166323450011325633556104005146530432140663161,0.2,0,-14.85884
1.24,14,216413064136441461661550004261661214425402611340106320566422203013522113351666624043201414116055156256125564300364510416616063145243233336466503244330321036306646163301452165650154254101150256300146166323450011325633556104005146530432140663161,2.5,0,-3.817333
1.34,15,216413064136441461661550004261661214425402611340106320566422203013522113351666624043201414116055156256125564300364510416616063145243233336466503244330321036306646163301452165650154254101150256300146166323450011325633556104005146530432140663161,4.75,1,-7.011268
1.44,16,235606153210644052415000405313432450025534025335132522361645115153025420635604264000242024345602136046001546416551033602306063145243233336466503244330321036306646163301452165650154254101150256300146166323450011325633556104005146530432140663161,0.7,0,-5.599936
