ElapsedTime,Epoch,BestDNA,RewardOfBestDNA,AvgRewardCurEpoch
0.02,1,-1,-1,-1
0.04,2,055432454111065224332660316432341325661066602633206204222510031041206324255344153346611200042642063655444030230230322116206514341164315516502605014145406535622366361130510421230210350634362050313534463434314303351415345402153642205546432530512,0,-1
0.14,3,305144222505110453634050506366012606150506214241651130321033521641414256401256501301224354045302513521641204136415113463326240240245666121442422556535541054100035160333565536331251255606453145353625416150001511564043432210322016653254150426253,0.4,-1
0.24,4,110002150232012440024066314643423212503340133435551634020156001622561640001124215505406130566525331206341346645324152022335562205261304302130654526451210054435544206362532026111521213641251422415141336464244001625522221602460535233001156134066,0,-1
0.34,5,253316521405661406314143611233056455125132622462644503045634256050000243334042135033622156216412461462043516150040621255445562205261304302130654526451210054435544206362532026111521213641251422415141336464244001625522221602460535233001156134066,0,-1
0.44,6,010446160133506012332132410606562203405544030661261621531502663421123636440025312101356333062510015615261122011501256626122024143632052126432216004261236633102311101160144134310124005455501552365250430645113166561603316451112641635325614132142,0.1,-1
0.54,7,132366506622210233114111104115636544124006011040022446305026213644165351451135634405413110250500461042446302344554332506012524213255034514653411535342456664665246322212513531132455626664425164200303632344046440205026621055065001623216134105502,0,-1
0.64,8,653604560320414544256651164233035612622260105230233262252012246403612035502656342201544626504632423434450604253333513650454623101145654423062222222610616024424510531055565625352422622103024232024132663241431411534042362402063542225305526204262,0.4,-1
0.7400001,9,561545506156013536223656536255350160204255561606300532561012501356404425050115101122546316111625205435656641354110161262025154506566162666203261042066121303350166254636551134423546046604544443313266633513506545524112205340254643113546500154032,0,-1
0.8400001,10,230601153153322506663132026531655162430424243201434362343144336141546011301146635666226100122602246600034406121315320563311621563120161333443402243645535246115531435013553250351504666531021213556630521123264206232152256106602166455352341014525,-2,-1
0.9400001,11,564440515416454056566520411550404654530215404421253255566235641656261140204454344116063152213356353566254261022045256143635154506566162666203261042066121303350166254636551134423546046604544443313266633513506545524112205340254643113546500154032,-9.86,-1
1.04,12,010446160133506012332132410606562203405544030661261621531502663421123636440025312101356333062510015615261122011501256626125154506566162666203261042066121303350166254636551134423546046604544443313266633513506545524112205340254643113546500154032,-9.62,-1
1.14,13,010446160133506012332132410606562203405544030661261621531502663421123636440025312101356333062510015615261122011501256626125154506566162666203261042066121303350166254636551134423546046604544443313266633513506545524112205340254643113546500154032,-3.85,-1
1.24,14,564440515416454056566520411550404654530215404421253255566235641656261140204454344116063152213356353566254261022045256143635154506566162666203261042066121303350166254636551134423546046604544443313266633513506545524112205340254643113546500154032,-5.83,-1
1.34,15,410562156555254531255032054352131206166640056155511116524050644415264055532220015200635255523160414353614556251263335260105154506566162666203261042066121303350166254636551134423546046604544443313266633513506545524112205340254643113546500154032,-7.29,-1
1.44,16,124515462536215232515650662063151416151505005024321001035205603340061135423226023223550060062511142640614322521545302633145154506566162666203261042066121303350166254636551134423546046604544443313266633513506545524112205340254643113546500154032,-15.7,-1
1.54,17,253424644236351121041651233364515216135350462504062425414422565615543050141654245353415510401566662535145254533314011541225154506566162666203261042066121303350166254636551134423546046604544443313266633513506545524112205340254643113546500154032,-14.05,-1
1.64,18,010446160133506012332132410606562203405544030661261621531502663421123636440025312101356333062510015615261122011501256626125154506566162666203261042066121303350166254636551134423546046604544443313266633513506545524112205340254643113546500154032,-29.71,-1
1.74,19,010446160133506012332132410606562203405544030661261621531502663421123636440025312101356333062510015615261122011501256626125154506566162666203261042066121303350166254636551134423546046604544443313266633513506545524112205340254643113546500154032,-7.66,-1
1.84,20,130136502160600161235334424365110022136026621262155426301624362603265040366506033223461562156165124402650644612136104251415154506566162666203261042066121303350166254636551134423546046604544443313266633513506545524112205340254643113546500154032,-22.39,-1
1.94,21,130136502160600161235334424365110022136026621262155426301624362603265040366506033223461562156165124402650644612136104251415154506566162666203261042066121303350166254636551134423546046604544443313266633513506545524112205340254643113546500154032,-29.47,-1
2.04,22,130136502160600161235334424365110022136026621262155426301624362603265040366506033223461562156165124402650644612136104251415154506566162666203261042066121303350166254636551134423546046604544443313266633513506545524112205340254643113546500154032,-21.73,-1
2.14,23,130136502160600161235334424365110022136026621262155426301624362603265040366506033223461562156165124402650644612136104251415154506566162666203261042066121303350166254636551134423546046604544443313266633513506545524112205340254643113546500154032,-17.67,-1
