ElapsedTime,Epoch,BestDNA,RewardOfBestDNA,CansPickedUpByBest,AvgRewardCurEpoch
0.02,1,-1,-1,0,-1
0.04,2,435561406156614151620326142123215154462426152222606511116342142103620004141455025052332653354603121300166106533242646013334106052540231040603141315603144655032210345655210362424251434543344330665352111026161121564010636330351413113112341203451,0.05,0,-429.0139
0.14,3,326402114010532413405565665025235016650360104513344202123120304022424655224056411240454446621601350645600135135616553340411065301045251244464336133114130222646543665335521651414262254402131465504502553426533214416505363334342602652003660335263,0,0,-171.4644
0.24,4,231455465122140442235164562324345023155000461260014600033560024542243433611163644436331423520241311322544333100233341543434042664634513336255313135212346006433356112230534466251516064421136124630235504135523466236333120311455053312522535563435,0,0,-121.8025
0.34,5,321345262013241566242552414046410221254002024350626161334644352322105443461640455166360230264324616260405622632252046212134045016340320346021313232611133445062445115435545525405511554610501135552160464234532665402642542060543523104203002034363,0.5,0,-58.40326
0.44,6,632300503215301360463534460040266620331345023016132433534140462112153632636321231224336343443125003613663326011562103232505053622620661464360425203302634504161303136361534326025416662235063040015101322535262313205334403304326113446004500654126,0.2,0,-139.0241
0.54,7,355443150036613101016542635001452240562031240121046136234536306565210245411353012304535024254635035140434503413531226502665022504142333353126145422554205154344421116351566316442445422306063422303503533566110450130444142315066235542215461324402,-1.05,0,-81.50874
0.64,8,300511206244423044541244014442102234331541512026453152236145460622336323540156511561340556020461662163660460311623443324125022504142333353126145422554205154344421116351566316442445422306063422303503533566110450130444142315066235542215461324402,-4.65,0,-69.84419
0.7400001,9,632300503215301360463534460040266620331345023016132433534140462112153632636321231224336343443125003613663326011562103232504042664634513336255313135212346006433356112230534466251516064421136124630235504135523466236333120311455053312522535563435,-29.61,0,-68.98262
0.8400001,10,326402114010532413405565665025235016650360104513344202123120304022424655224056411240454446621601350645600135135616553340415010024361511245401460352026524010463642444302541515402550424554614515504266321336661265203410613144425502010415566653456,-40,0,-87.24277
0.9400001,11,521435145222023026315460344010625443415461652455466523523012044126304022002512535560333234645466506225325124103240222434015010024361511245401460352026524010463642444302541515402550424554614515504266321336661265203410613144425502010415566653456,-61.95,0,-82.52338
1.04,12,032434021331046145013040456340226003201213156601465221242653401504330446041221645235251102236024346366064304661665506012035010024361511245401460352026524010463642444302541515402550424554614515504266321336661265203410613144425502010415566653456,-38.2,0,-50.88555
1.14,13,453254540010444424524335640540541165163216646412016665110333635551212515511335216122136543625125420451226000310531526155665010024361511245401460352026524010463642444302541515402550424554614515504266321336661265203410613144425502010415566653456,-52.9,0,-67.81364
1.24,14,354400301123506440126660033266340565520415300032145326106651565051532022162252353555464522611511025401021302321215654443505010024361511245401460352026524010463642444302541515402550424554614515504266321336661265203410613144425502010415566653456,-12.05,0,-32.58926
1.34,15,453254540010444424524335640540541165163216646412016665110333635551212515511335216122136543625125420451226000310531526155665010024361511245401460352026524010463642444302541515402550424554614515504266321336661265203410613144425502010415566653456,-52.85,0,-62.71672
1.44,16,535041114656003040233240602260045556412523415002521025665663566066025336566360360114054162555531430634632446142131222245435010024361511245401460352026524010463642444302541515402550424554614515504266321336661265203410613144425502010415566653456,-23.45,0,-35.94874
1.54,17,453254540010444424524335640540541165163216646412016665110333635551212515511335216122136543625125420451226000310531526155665010024361511245401460352026524010463642444302541515402550424554614515504266321336661265203410613144425502010415566653456,-26.6,0,-63.63367
1.64,18,453254540010444424524335640540541165163216646412016665110333635551212515511335216122136543625125420451226000310531526155665010024361511245401460352026524010463642444302541515402550424554614515504266321336661265203410613144425502010415566653456,-43.45,0,-47.6368
1.74,19,453254540010444424524335640540541165163216646412016665110333635551212515511335216122136543625125420451226000310531526155665010024361511245401460352026524010463642444302541515402550424554614515504266321336661265203410613144425502010415566653456,-66.65,0,-84.82516
1.84,20,535041114656003040233240602260045556412523415002521025665663566066025336566360360114054162555531430634632446142131222245435010024361511245401460352026524010463642444302541515402550424554614515504266321336661265203410613144425502010415566653456,-54,0,-61.82422
1.94,21,453254540010444424524335640540541165163216646412016665110333635551212515511335216122136543625125420451226000310531526155665010024361511245401460352026524010463642444302541515402550424554614515504266321336661265203410613144425502010415566653456,-38.26,0,-56.79084
2.04,22,453254540010444424524335640540541165163216646412016665110333635551212515511335216122136543625125420451226000310531526155665010024361511245401460352026524010463642444302541515402550424554614515504266321336661265203410613144425502010415566653456,-44.64,1,-59.17303
2.14,23,453254540010444424524335640540541165163216646412016665110333635551212515511335216122136543625125420451226000310531526155665010024361511245401460352026524010463642444302541515402550424554614515504266321336661265203410613144425502010415566653456,-61.3,0,-74.71075
2.24,24,453254540010444424524335640540541165163216646412016665110333635551212515511335216122136543625125420451226000310531526155665010024361511245401460352026524010463642444302541515402550424554614515504266321336661265203410613144425502010415566653456,-60.15,0,-67.04436
2.34,25,453254540010444424524335640540541165163216646412016665110333635551212515511335216122136543625125420451226000310531526155665010024361511245401460352026524010463642444302541515402550424554614515504266321336661265203410613144425502010415566653456,-47,0,-61.66206
2.44,26,453254540010444424524335640540541165163216646412016665110333635551212515511335216122136543625125420451226000310531526155665010024361511245401460352026524010463642444302541515402550424554614515504266321336661265203410613144425502010415566653456,-40.36,0,-46.775
2.54,27,453254540010444424524335640540541165163216646412016665110333635551212515511335216122136543625125420451226000310531526155665010024361511245401460352026524010463642444302541515402550424554614515504266321336661265203410613144425502010415566653456,-48.75,0,-56.75966
2.64,28,453254540010444424524335640540541165163216646412016665110333635551212515511335216122136543625125420451226000310531526155665010024361511245401460352026524010463642444302541515402550424554614515504266321336661265203410613144425502010415566653456,-64.95,0,-76.707
2.74,29,453254540010444424524335640540541165163216646412016665110333635551212515511335216122136543625125420451226000310531526155665010024361511245401460352026524010463642444302541515402550424554614515504266321336661265203410613144425502010415566653456,-32.95,0,-45.00455
2.839999,30,102024226255045515115433035462666204214526502305231430033256215134060414601445553461400422225333050220446415662261132430313510516641364051113401634353513513600011533015115532554552011001316346436563314144412656632240426041616622015605550205031,-27.03,0,-57.2321
2.939999,31,453254540010444424524335640540541165163216646412016665110333635551212515511335216122136543625125420451226000310531526155665010024361511245401460352026524010463642444302541515402550424554614515504266321336661265203410613144425502010415566653456,-32.7,0,-48.22949
